Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->27.265043           24.752885 ->24.767969           28.019241 ->27.646415           
aerial                  24.694600 ->28.621003           24.705980 ->26.175477           27.844180 ->29.082898           
boston                  24.684452 ->28.677060           24.698852 ->25.895286           27.987708 ->28.723350           
bridge                  25.011427 ->28.771340           24.965655 ->26.253430           28.092329 ->29.321384           
butter                  25.567147 ->30.686677           25.216857 ->27.628200           27.676631 ->29.769512           
cactus                  24.659023 ->28.407958           24.679678 ->25.986546           28.252332 ->30.007436           
child                   24.648744 ->26.589398           24.662751 ->24.339946           28.293958 ->27.365515           
couple                  24.839891 ->29.857778           24.826232 ->26.046216           28.640519 ->28.924485           
elk                     24.716747 ->28.936509           24.721614 ->25.392130           28.441795 ->28.212829           
family                  25.346727 ->32.214120           25.029951 ->29.387479           27.087920 ->31.355482           
fisher                  24.708380 ->32.920429           24.719619 ->29.331329           27.316909 ->31.536902           
foxy                    24.841433 ->26.622680           24.819308 ->24.615188           29.526125 ->28.866119           
geckos                  24.683173 ->26.676644           24.692426 ->23.711715           29.042557 ->27.091280           
lady                    24.648239 ->35.042432           24.667623 ->31.446220           27.203527 ->34.149421           
lake                    25.052009 ->24.539475           24.916885 ->23.166958           28.954386 ->26.644545           
log                     24.911347 ->26.120462           24.858786 ->24.336002           29.037535 ->28.289186           
monument                24.953394 ->30.431394           24.868382 ->26.923369           28.160391 ->29.487946           
native                  24.816503 ->30.295406           24.813857 ->26.814594           27.769748 ->29.212559           
redwood                 25.033114 ->27.783655           24.930910 ->25.043453           27.991817 ->27.641849           
roping                  25.604926 ->28.655714           25.205465 ->25.513319           28.074527 ->27.922420           
rushmore                24.709830 ->26.190947           24.731029 ->24.728834           28.243468 ->28.066804           
shroom                  24.942073 ->32.041412           24.865940 ->27.755669           28.122947 ->30.206228           
snow                    25.630263 ->28.420396           25.188521 ->25.585224           28.415715 ->28.558842           
sunset                  24.766513 ->30.278308           24.745671 ->27.907730           27.554381 ->31.017723           
sunsetcolor             25.103546 ->36.398624           24.950085 ->32.483145           26.948004 ->33.709048           
swarm                   24.667630 ->33.760814           24.676266 ->29.903555           27.209710 ->32.385613           
trolley                 24.764424 ->26.663971           24.746654 ->24.785238           28.694791 ->28.461786           
turtle                  24.809788 ->33.600714           24.784972 ->29.837172           27.391830 ->32.287290           
veggies                 25.513827 ->28.571563           25.138314 ->25.420385           28.262391 ->27.964840           
woman                   24.802186 ->28.937372           24.779093 ->25.595061           27.964419 ->28.054546           

Average PSNR: 24.930417 ->29.465977           
Average PSNR-HVS: 24.845342 ->26.559228           
Average PSNR-HVS-M: 28.074060 ->29.398808           
