Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->25.259279           25.061478 ->24.752491           30.232067 ->30.302518           
aerial                  24.948428 ->25.109905           24.943752 ->24.293075           29.533654 ->28.704390           
boston                  24.797214 ->25.118312           24.818571 ->24.008814           29.457386 ->28.195000           
bridge                  24.879643 ->25.465191           24.883403 ->24.724472           29.083745 ->29.059564           
butter                  24.882186 ->27.896539           24.877576 ->27.068324           28.707374 ->32.415745           
cactus                  24.821280 ->26.096473           24.845002 ->25.577739           29.397019 ->31.548137           
child                   24.792258 ->24.413892           24.809341 ->23.486966           30.099317 ->27.957281           
couple                  24.915018 ->25.633356           24.924325 ->24.567257           30.977400 ->30.211686           
elk                     24.966659 ->25.356408           24.981376 ->24.403243           31.288473 ->30.193124           
family                  24.925898 ->26.612805           24.931269 ->26.156291           27.746531 ->29.285242           
fisher                  24.790532 ->27.911645           24.806613 ->26.518555           28.377728 ->30.511539           
foxy                    24.883180 ->24.598729           24.901741 ->24.130489           31.237774 ->30.069405           
geckos                  24.917349 ->24.540489           24.931486 ->23.953650           31.891460 ->30.226320           
lady                    24.800469 ->30.000927           24.815407 ->28.424084           27.774881 ->32.153460           
lake                    24.893488 ->23.587774           24.909181 ->23.432053           30.762298 ->28.616709           
log                     24.833803 ->24.119983           24.854369 ->23.779129           30.075435 ->28.650784           
monument                25.087339 ->25.705116           25.067933 ->24.774592           30.614394 ->30.230350           
native                  25.114155 ->25.681433           25.093801 ->24.648324           30.293730 ->29.730786           
redwood                 24.889198 ->25.206162           24.900047 ->24.350934           29.431842 ->28.755192           
roping                  24.773641 ->25.975301           24.789357 ->25.210869           29.100786 ->30.224035           
rushmore                25.089369 ->24.753426           25.095722 ->24.549636           30.491433 ->30.252196           
shroom                  24.984799 ->26.165697           24.991088 ->25.154354           30.604250 ->30.807994           
snow                    24.775606 ->24.930664           24.797847 ->24.385092           29.301987 ->28.996927           
sunset                  24.751316 ->27.141603           24.770623 ->26.377829           28.178072 ->30.601059           
sunsetcolor             24.734340 ->32.699786           24.746810 ->31.065342           27.189808 ->34.431587           
swarm                   24.783559 ->28.963506           24.799355 ->27.772957           27.981046 ->32.189848           
trolley                 24.797436 ->24.494804           24.821178 ->23.921692           30.098471 ->28.753666           
turtle                  24.736022 ->28.995371           24.753733 ->27.731254           28.131582 ->32.017031           
veggies                 24.731168 ->25.618784           24.753460 ->24.699629           29.103585 ->29.358544           
woman                   24.982985 ->25.424554           24.990185 ->24.665687           30.441029 ->30.179257           

Average PSNR: 24.878403 ->26.115930           
Average PSNR-HVS: 24.888868 ->25.286161           
Average PSNR-HVS-M: 29.586819 ->30.154313           
