Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->30.767667           24.752885 ->28.297566           28.019241 ->31.924692           
aerial                  24.694600 ->31.100899           24.705980 ->28.783532           27.844180 ->32.191814           
boston                  24.684452 ->31.331915           24.698852 ->28.604248           27.987708 ->31.981573           
bridge                  25.011427 ->31.835003           24.965655 ->29.264103           28.092329 ->32.927462           
butter                  25.567147 ->34.176328           25.216857 ->31.140107           27.676631 ->34.227800           
cactus                  24.659023 ->31.104410           24.679678 ->28.370455           28.252332 ->32.881672           
child                   24.648744 ->29.652311           24.662751 ->27.222368           28.293958 ->30.828061           
couple                  24.839891 ->32.076252           24.826232 ->28.261602           28.640519 ->31.632839           
elk                     24.716747 ->31.231227           24.721614 ->27.743276           28.441795 ->31.123410           
family                  25.346727 ->35.891505           25.029951 ->33.680946           27.087920 ->36.451436           
fisher                  24.708380 ->34.655090           24.719619 ->31.206127           27.316909 ->33.692865           
foxy                    24.841433 ->29.185050           24.819308 ->26.817306           29.526125 ->31.618449           
geckos                  24.683173 ->29.563389           24.692426 ->26.432753           29.042557 ->30.444504           
lady                    24.648239 ->36.766852           24.667623 ->32.927505           27.203527 ->35.554200           
lake                    25.052009 ->28.217675           24.916885 ->26.660201           28.954386 ->31.045474           
log                     24.911347 ->29.235693           24.858786 ->27.332378           29.037535 ->32.241519           
monument                24.953394 ->32.698225           24.868382 ->29.374709           28.160391 ->32.620794           
native                  24.816503 ->32.555488           24.813857 ->29.118786           27.769748 ->31.912311           
redwood                 25.033114 ->30.900443           24.930910 ->28.196228           27.991817 ->31.473211           
roping                  25.604926 ->31.990736           25.205465 ->29.002307           28.074527 ->32.555108           
rushmore                24.709830 ->29.330067           24.731029 ->27.677401           28.243468 ->31.721594           
shroom                  24.942073 ->33.603118           24.865940 ->29.528236           28.122947 ->32.455769           
snow                    25.630263 ->31.921954           25.188521 ->29.203571           28.415715 ->33.395697           
sunset                  24.766513 ->33.512135           24.745671 ->31.077291           27.554381 ->34.853522           
sunsetcolor             25.103546 ->39.770048           24.950085 ->36.107074           26.948004 ->38.044795           
swarm                   24.667630 ->35.536822           24.676266 ->32.016908           27.209710 ->34.927651           
trolley                 24.764424 ->29.881440           24.746654 ->27.829877           28.694791 ->32.206099           
turtle                  24.809788 ->35.411692           24.784972 ->31.746691           27.391830 ->34.594842           
veggies                 25.513827 ->31.884780           25.138314 ->28.826495           28.262391 ->32.473873           
woman                   24.802186 ->31.636781           24.779093 ->28.431691           27.964419 ->31.472306           

Average PSNR: 24.930417 ->32.247500           
Average PSNR-HVS: 24.845342 ->29.362725           
Average PSNR-HVS-M: 28.074060 ->32.849178           
