Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->26.565114           25.061478 ->26.633267           30.232067 ->33.280984           
aerial                  24.948428 ->26.613821           24.943752 ->26.330502           29.533654 ->31.602904           
boston                  24.797214 ->27.295437           24.818571 ->26.527550           29.457386 ->31.723395           
bridge                  24.879643 ->27.459027           24.883403 ->27.088393           29.083745 ->32.448382           
butter                  24.882186 ->29.087915           24.877576 ->28.780949           28.707374 ->34.580335           
cactus                  24.821280 ->26.976368           24.845002 ->26.931764           29.397019 ->33.621164           
child                   24.792258 ->26.366362           24.809341 ->25.779194           30.099317 ->31.227785           
couple                  24.915018 ->26.834769           24.924325 ->26.192723           30.977400 ->32.462670           
elk                     24.966659 ->26.200507           24.981376 ->25.807952           31.288473 ->32.285976           
family                  24.925898 ->29.067732           24.931269 ->29.245817           27.746531 ->33.497677           
fisher                  24.790532 ->29.328378           24.806613 ->28.322533           28.377728 ->32.717720           
foxy                    24.883180 ->25.579817           24.901741 ->25.501119           31.237774 ->32.094030           
geckos                  24.917349 ->25.299908           24.931486 ->25.192982           31.891460 ->32.131072           
lady                    24.800469 ->31.168408           24.815407 ->29.882892           27.774881 ->33.580233           
lake                    24.893488 ->25.392229           24.909181 ->25.565778           30.762298 ->32.054872           
log                     24.833803 ->25.916828           24.854369 ->25.966816           30.075435 ->32.131855           
monument                25.087339 ->26.470818           25.067933 ->26.259450           30.614394 ->32.259023           
native                  25.114155 ->26.672503           25.093801 ->26.401012           30.293730 ->32.242480           
redwood                 24.889198 ->26.871626           24.900047 ->26.546218           29.431842 ->31.944927           
roping                  24.773641 ->27.765931           24.789357 ->27.338954           29.100786 ->33.305993           
rushmore                25.089369 ->25.422836           25.095722 ->25.930012           30.491433 ->32.674496           
shroom                  24.984799 ->27.100053           24.991088 ->26.633499           30.604250 ->32.752874           
snow                    24.775606 ->27.508640           24.797847 ->27.275589           29.301987 ->33.114251           
sunset                  24.751316 ->28.903892           24.770623 ->28.578215           28.178072 ->33.438864           
sunsetcolor             24.734340 ->34.193421           24.746810 ->32.859806           27.189808 ->36.143296           
swarm                   24.783559 ->29.850681           24.799355 ->29.191975           27.981046 ->33.864245           
trolley                 24.797436 ->26.534886           24.821178 ->26.190128           30.098471 ->31.989702           
turtle                  24.736022 ->29.995675           24.753733 ->29.059790           28.131582 ->33.501012           
veggies                 24.731168 ->28.121378           24.753460 ->27.278512           29.103585 ->32.950107           
woman                   24.982985 ->26.379698           24.990185 ->26.313751           30.441029 ->32.672906           

Average PSNR: 24.878403 ->27.564822           
Average PSNR-HVS: 24.888868 ->27.186905           
Average PSNR-HVS-M: 29.586819 ->32.809841           
