Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->23.029898           24.752885 ->19.616828           28.019241 ->21.397168           
aerial                  24.694600 ->22.811641           24.705980 ->19.756532           27.844180 ->21.478125           
boston                  24.684452 ->23.568326           24.698852 ->19.929700           27.987708 ->21.603272           
bridge                  25.011427 ->23.725620           24.965655 ->20.137995           28.092329 ->22.042365           
butter                  25.567147 ->26.850938           25.216857 ->23.143274           27.676631 ->24.842952           
cactus                  24.659023 ->23.126475           24.679678 ->19.441735           28.252332 ->21.496770           
child                   24.648744 ->22.017688           24.662751 ->19.098866           28.293958 ->20.961436           
couple                  24.839891 ->25.051714           24.826232 ->20.716894           28.640519 ->22.551530           
elk                     24.716747 ->24.493025           24.721614 ->20.381842           28.441795 ->22.213291           
family                  25.346727 ->28.340398           25.029951 ->24.385145           27.087920 ->26.003785           
fisher                  24.708380 ->29.107898           24.719619 ->25.125919           27.316909 ->26.793635           
foxy                    24.841433 ->18.706751           24.819308 ->15.650827           29.526125 ->17.592470           
geckos                  24.683173 ->21.889865           24.692426 ->18.155220           29.042557 ->20.081310           
lady                    24.648239 ->28.262846           24.667623 ->23.944236           27.203527 ->25.644639           
lake                    25.052009 ->20.842449           24.916885 ->18.051493           28.954386 ->20.124556           
log                     24.911347 ->18.969237           24.858786 ->15.796998           29.037535 ->17.790201           
monument                24.953394 ->24.083088           24.868382 ->20.050700           28.160391 ->21.430710           
native                  24.816503 ->27.219807           24.813857 ->23.384297           27.769748 ->25.283091           
redwood                 25.033114 ->23.797437           24.930910 ->20.576239           27.991817 ->22.569363           
roping                  25.604926 ->24.700781           25.205465 ->20.946959           28.074527 ->22.704310           
rushmore                24.709830 ->21.065885           24.731029 ->18.339753           28.243468 ->20.432028           
shroom                  24.942073 ->27.533939           24.865940 ->22.847285           28.122947 ->24.545373           
snow                    25.630263 ->24.197480           25.188521 ->20.344421           28.415715 ->22.365612           
sunset                  24.766513 ->24.758775           24.745671 ->21.279858           27.554381 ->23.130950           
sunsetcolor             25.103546 ->32.399143           24.950085 ->28.062385           26.948004 ->29.299187           
swarm                   24.667630 ->29.255536           24.676266 ->24.722930           27.209710 ->26.370475           
trolley                 24.764424 ->20.056225           24.746654 ->16.880904           28.694791 ->18.640144           
turtle                  24.809788 ->29.528601           24.784972 ->25.018573           27.391830 ->26.704874           
veggies                 25.513827 ->23.435312           25.138314 ->19.767273           28.262391 ->21.522659           
woman                   24.802186 ->25.839865           24.779093 ->22.065249           27.964419 ->24.002379           

Average PSNR: 24.930417 ->24.622222           
Average PSNR-HVS: 24.845342 ->20.920678           
Average PSNR-HVS-M: 28.074060 ->22.720622           
