Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->13.364404           25.061478 ->12.512802           30.232067 ->14.842389           
aerial                  24.948428 ->14.339295           24.943752 ->13.556629           29.533654 ->15.835388           
boston                  24.797214 ->15.388754           24.818571 ->14.162689           29.457386 ->16.326483           
bridge                  24.879643 ->14.657657           24.883403 ->13.705261           29.083745 ->15.951013           
butter                  24.882186 ->16.223102           24.877576 ->14.767543           28.707374 ->17.124913           
cactus                  24.821280 ->14.104231           24.845002 ->13.113623           29.397019 ->15.455274           
child                   24.792258 ->14.622457           24.809341 ->13.682720           30.099317 ->15.954748           
couple                  24.915018 ->13.983444           24.924325 ->12.321192           30.977400 ->14.572568           
elk                     24.966659 ->13.314233           24.981376 ->11.916778           31.288473 ->14.221057           
family                  24.925898 ->17.445289           24.931269 ->17.393908           27.746531 ->19.868192           
fisher                  24.790532 ->17.680138           24.806613 ->15.998774           28.377728 ->18.216108           
foxy                    24.883180 ->12.684424           24.901741 ->12.049078           31.237774 ->14.445968           
geckos                  24.917349 ->12.511469           24.931486 ->11.501764           31.891460 ->13.844075           
lady                    24.800469 ->19.165408           24.815407 ->17.748749           27.774881 ->19.932574           
lake                    24.893488 ->12.966936           24.909181 ->12.609660           30.762298 ->15.058374           
log                     24.833803 ->13.427887           24.854369 ->13.199619           30.075435 ->15.648711           
monument                25.087339 ->13.050817           25.067933 ->11.862873           30.614394 ->13.973015           
native                  25.114155 ->13.815736           25.093801 ->12.473663           30.293730 ->14.861134           
redwood                 24.889198 ->14.537404           24.900047 ->13.773516           29.431842 ->16.183808           
roping                  24.773641 ->15.427114           24.789357 ->14.165226           29.100786 ->16.443512           
rushmore                25.089369 ->12.257327           25.095722 ->12.140999           30.491433 ->14.647829           
shroom                  24.984799 ->14.298624           24.991088 ->12.615442           30.604250 ->14.892085           
snow                    24.775606 ->15.589614           24.797847 ->14.727247           29.301987 ->17.191103           
sunset                  24.751316 ->16.818181           24.770623 ->16.242898           28.178072 ->18.647958           
sunsetcolor             24.734340 ->22.737409           24.746810 ->20.948274           27.189808 ->23.170803           
swarm                   24.783559 ->17.588560           24.799355 ->16.199607           27.981046 ->18.465584           
trolley                 24.797436 ->14.193564           24.821178 ->13.370615           30.098471 ->15.586864           
turtle                  24.736022 ->18.475884           24.753733 ->16.946712           28.131582 ->19.244534           
veggies                 24.731168 ->16.455069           24.753460 ->15.129689           29.103585 ->17.388480           
woman                   24.982985 ->13.486678           24.990185 ->12.344494           30.441029 ->14.743795           

Average PSNR: 24.878403 ->15.153704           
Average PSNR-HVS: 24.888868 ->14.106068           
Average PSNR-HVS-M: 29.586819 ->16.424611           
