Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->19.359496           24.752885 ->15.211039           28.019241 ->16.022208           
aerial                  24.694600 ->19.406695           24.705980 ->15.366203           27.844180 ->16.183657           
boston                  24.684452 ->21.948902           24.698852 ->17.954041           27.987708 ->19.113886           
bridge                  25.011427 ->21.008189           24.965655 ->16.895437           28.092329 ->17.841843           
butter                  25.567147 ->22.802423           25.216857 ->18.400377           27.676631 ->19.201305           
cactus                  24.659023 ->21.906913           24.679678 ->17.924008           28.252332 ->19.405560           
child                   24.648744 ->21.226172           24.662751 ->17.980594           28.293958 ->19.460003           
couple                  24.839891 ->22.767126           24.826232 ->18.320383           28.640519 ->19.501255           
elk                     24.716747 ->22.106057           24.721614 ->17.786661           28.441795 ->18.890449           
family                  25.346727 ->22.499038           25.029951 ->17.785507           27.087920 ->18.445858           
fisher                  24.708380 ->26.669508           24.719619 ->22.413848           27.316909 ->23.463617           
foxy                    24.841433 ->16.781580           24.819308 ->13.011772           29.526125 ->14.147699           
geckos                  24.683173 ->21.475559           24.692426 ->17.664972           29.042557 ->19.385566           
lady                    24.648239 ->27.316317           24.667623 ->22.911298           27.203527 ->24.310895           
lake                    25.052009 ->17.199872           24.916885 ->13.256036           28.954386 ->14.092074           
log                     24.911347 ->15.408723           24.858786 ->11.372826           29.037535 ->12.232460           
monument                24.953394 ->21.839353           24.868382 ->17.401480           28.160391 ->18.327462           
native                  24.816503 ->25.447173           24.813857 ->21.347033           27.769748 ->22.583048           
redwood                 25.033114 ->20.596578           24.930910 ->16.620777           27.991817 ->17.512742           
roping                  25.604926 ->21.920804           25.205465 ->17.698740           28.074527 ->18.684791           
rushmore                24.709830 ->19.613481           24.731029 ->16.236496           28.243468 ->17.612529           
shroom                  24.942073 ->22.168391           24.865940 ->17.575833           28.122947 ->18.311010           
snow                    25.630263 ->18.371718           25.188521 ->13.817629           28.415715 ->14.648357           
sunset                  24.766513 ->22.489888           24.745671 ->18.511715           27.554381 ->19.643665           
sunsetcolor             25.103546 ->30.415626           24.950085 ->25.990776           26.948004 ->26.848807           
swarm                   24.667630 ->26.012419           24.676266 ->21.497877           27.209710 ->22.415759           
trolley                 24.764424 ->17.345924           24.746654 ->13.417956           28.694791 ->14.386987           
turtle                  24.809788 ->24.869084           24.784972 ->20.383716           27.391830 ->21.204826           
veggies                 25.513827 ->19.161714           25.138314 ->14.687962           28.262391 ->15.487041           
woman                   24.802186 ->22.534810           24.779093 ->18.272222           27.964419 ->19.267084           

Average PSNR: 24.930417 ->21.755651           
Average PSNR-HVS: 24.845342 ->17.590507           
Average PSNR-HVS-M: 28.074060 ->18.621081           
