Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->8.753894            25.061478 ->5.055324            30.232067 ->5.628138            
aerial                  24.948428 ->9.557523            24.943752 ->5.874420            29.533654 ->6.421627            
boston                  24.797214 ->11.248655           24.818571 ->7.560081            29.457386 ->8.181445            
bridge                  24.879643 ->9.976618            24.883403 ->6.245886            29.083745 ->6.818961            
butter                  24.882186 ->10.863628           24.877576 ->6.720688            28.707374 ->7.319059            
cactus                  24.821280 ->9.657037            24.845002 ->6.026291            29.397019 ->6.609723            
child                   24.792258 ->10.472837           24.809341 ->6.877675            30.099317 ->7.496815            
couple                  24.915018 ->9.183012            24.924325 ->5.181183            30.977400 ->5.795944            
elk                     24.966659 ->8.435160            24.981376 ->4.552764            31.288473 ->5.140879            
family                  24.925898 ->12.188213           24.931269 ->8.475461            27.746531 ->8.977265            
fisher                  24.790532 ->12.133296           24.806613 ->7.978847            28.377728 ->8.593173            
foxy                    24.883180 ->8.303418            24.901741 ->4.726735            31.237774 ->5.315136            
geckos                  24.917349 ->7.601005            24.931486 ->3.843916            31.891460 ->4.416923            
lady                    24.800469 ->14.414277           24.815407 ->10.418802           27.774881 ->11.034207           
lake                    24.893488 ->8.601082            24.909181 ->5.067087            30.762298 ->5.642212            
log                     24.833803 ->9.175678            24.854369 ->5.733751            30.075435 ->6.302312            
monument                25.087339 ->8.634706            25.067933 ->4.891843            30.614394 ->5.460552            
native                  25.114155 ->8.643185            25.093801 ->4.681699            30.293730 ->5.260660            
redwood                 24.889198 ->9.655147            24.900047 ->5.922400            29.431842 ->6.488004            
roping                  24.773641 ->10.884145           24.789357 ->7.059322            29.100786 ->7.679720            
rushmore                25.089369 ->8.295148            25.095722 ->5.002156            30.491433 ->5.554695            
shroom                  24.984799 ->8.898562            24.991088 ->4.788488            30.604250 ->5.394672            
snow                    24.775606 ->10.741237           24.797847 ->6.810252            29.301987 ->7.433654            
sunset                  24.751316 ->11.985246           24.770623 ->8.234924            28.178072 ->8.817963            
sunsetcolor             24.734340 ->17.040077           24.746810 ->12.768397           27.189808 ->13.413247           
swarm                   24.783559 ->12.801541           24.799355 ->8.908649            27.981046 ->9.493370            
trolley                 24.797436 ->10.168360           24.821178 ->6.594235            30.098471 ->7.205067            
turtle                  24.736022 ->13.375502           24.753733 ->9.277385            28.131582 ->9.896353            
veggies                 24.731168 ->12.050844           24.753460 ->8.169737            29.103585 ->8.826559            
woman                   24.982985 ->8.848836            24.990185 ->5.046968            30.441029 ->5.637135            

Average PSNR: 24.878403 ->10.419596           
Average PSNR-HVS: 24.888868 ->6.616512            
Average PSNR-HVS-M: 29.586819 ->7.208516            
