Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->18.712319           24.752885 ->14.490622           28.019241 ->15.172094           
aerial                  24.694600 ->18.810596           24.705980 ->14.729753           27.844180 ->15.420979           
boston                  24.684452 ->21.205907           24.698852 ->17.118301           27.987708 ->18.078595           
bridge                  25.011427 ->20.257190           24.965655 ->16.052146           28.092329 ->16.854464           
butter                  25.567147 ->22.217638           25.216857 ->17.781219           27.676631 ->18.462307           
cactus                  24.659023 ->20.926329           24.679678 ->16.828661           28.252332 ->17.982163           
child                   24.648744 ->20.568938           24.662751 ->17.122491           28.293958 ->18.338789           
couple                  24.839891 ->21.660320           24.826232 ->17.159975           28.640519 ->18.111457           
elk                     24.716747 ->21.170592           24.721614 ->16.811176           28.441795 ->17.696720           
family                  25.346727 ->22.122700           25.029951 ->17.343019           27.087920 ->17.935412           
fisher                  24.708380 ->25.794667           24.719619 ->21.402178           27.316909 ->22.270786           
foxy                    24.841433 ->15.926165           24.819308 ->12.009229           29.526125 ->12.911571           
geckos                  24.683173 ->20.988124           24.692426 ->17.095664           29.042557 ->18.599463           
lady                    24.648239 ->26.355365           24.667623 ->21.888571           27.203527 ->23.050464           
lake                    25.052009 ->16.617098           24.916885 ->12.598800           28.954386 ->13.308258           
log                     24.911347 ->14.663629           24.858786 ->10.535374           29.037535 ->11.251622           
monument                24.953394 ->21.136538           24.868382 ->16.622206           28.160391 ->17.422763           
native                  24.816503 ->24.739923           24.813857 ->20.584177           27.769748 ->21.622074           
redwood                 25.033114 ->19.919851           24.930910 ->15.872853           27.991817 ->16.613469           
roping                  25.604926 ->21.174040           25.205465 ->16.899331           28.074527 ->17.721805           
rushmore                24.709830 ->18.545296           24.731029 ->14.895106           28.243468 ->15.945861           
shroom                  24.942073 ->21.454059           24.865940 ->16.853107           28.122947 ->17.469080           
snow                    25.630263 ->17.712508           25.188521 ->13.054212           28.415715 ->13.769855           
sunset                  24.766513 ->21.322756           24.745671 ->17.194469           27.554381 ->18.081444           
sunsetcolor             25.103546 ->29.448673           24.950085 ->24.941863           26.948004 ->25.675768           
swarm                   24.667630 ->25.085429           24.676266 ->20.566934           27.209710 ->21.324399           
trolley                 24.764424 ->16.577879           24.746654 ->12.560094           28.694791 ->13.366374           
turtle                  24.809788 ->24.128182           24.784972 ->19.625948           27.391830 ->20.314204           
veggies                 25.513827 ->18.651414           25.138314 ->14.105206           28.262391 ->14.808721           
woman                   24.802186 ->21.573616           24.779093 ->17.257532           27.964419 ->18.057881           

Average PSNR: 24.930417 ->20.982258           
Average PSNR-HVS: 24.845342 ->16.733341           
Average PSNR-HVS-M: 28.074060 ->17.587961           
