Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->8.157906            25.061478 ->4.404790            30.232067 ->4.869239            
aerial                  24.948428 ->9.068176            24.943752 ->5.335340            29.533654 ->5.792638            
boston                  24.797214 ->10.754983           24.818571 ->6.992144            29.457386 ->7.518507            
bridge                  24.879643 ->9.450767            24.883403 ->5.663031            29.083745 ->6.138299            
butter                  24.882186 ->10.429948           24.877576 ->6.212181            28.707374 ->6.733815            
cactus                  24.821280 ->9.065875            24.845002 ->5.369284            29.397019 ->5.838504            
child                   24.792258 ->9.835270            24.809341 ->6.166034            30.099317 ->6.660446            
couple                  24.915018 ->8.689488            24.924325 ->4.614907            30.977400 ->5.140971            
elk                     24.966659 ->7.941288            24.981376 ->3.994072            31.288473 ->4.490498            
family                  24.925898 ->11.803182           24.931269 ->8.035180            27.746531 ->8.478979            
fisher                  24.790532 ->11.600584           24.806613 ->7.366759            28.377728 ->7.901150            
foxy                    24.883180 ->7.703686            24.901741 ->4.055671            31.237774 ->4.525627            
geckos                  24.917349 ->6.933335            24.931486 ->3.133790            31.891460 ->3.585963            
lady                    24.800469 ->13.867038           24.815407 ->9.791823            27.774881 ->10.314461           
lake                    24.893488 ->7.971138            24.909181 ->4.364929            30.762298 ->4.815463            
log                     24.833803 ->8.568224            24.854369 ->5.057163            30.075435 ->5.500247            
monument                25.087339 ->8.264163            25.067933 ->4.452950            30.614394 ->4.949312            
native                  25.114155 ->8.225866            25.093801 ->4.195532            30.293730 ->4.703054            
redwood                 24.889198 ->9.092097            24.900047 ->5.296229            29.431842 ->5.760435            
roping                  24.773641 ->10.319015           24.789357 ->6.417968            29.100786 ->6.933185            
rushmore                25.089369 ->7.896511            25.095722 ->4.519800            30.491433 ->4.985675            
shroom                  24.984799 ->8.428155            24.991088 ->4.255973            30.604250 ->4.780722            
snow                    24.775606 ->10.118934           24.797847 ->6.102967            29.301987 ->6.616616            
sunset                  24.751316 ->11.358425           24.770623 ->7.535441            28.178072 ->8.004188            
sunsetcolor             24.734340 ->16.545785           24.746810 ->12.199981           27.189808 ->12.769235           
swarm                   24.783559 ->12.325510           24.799355 ->8.361531            27.981046 ->8.861036            
trolley                 24.797436 ->9.557236            24.821178 ->5.916225            30.098471 ->6.405443            
turtle                  24.736022 ->12.849598           24.753733 ->8.693028            28.131582 ->9.216581            
veggies                 24.731168 ->11.417985           24.753460 ->7.463264            29.103585 ->8.000799            
woman                   24.982985 ->8.402211            24.990185 ->4.524166            30.441029 ->5.030657            

Average PSNR: 24.878403 ->9.888079            
Average PSNR-HVS: 24.888868 ->6.016405            
Average PSNR-HVS-M: 29.586819 ->6.510725            
