Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->13.029182           24.752885 ->8.798324            28.019241 ->9.022276            
aerial                  24.694600 ->13.603931           24.705980 ->9.411437            27.844180 ->9.637784            
boston                  24.684452 ->13.932539           24.698852 ->9.678784            27.987708 ->9.901997            
bridge                  25.011427 ->13.439445           24.965655 ->9.130608            28.092329 ->9.374264            
butter                  25.567147 ->15.192879           25.216857 ->10.933137           27.676631 ->11.121531           
cactus                  24.659023 ->12.707936           24.679678 ->8.488012            28.252332 ->8.722267            
child                   24.648744 ->12.964737           24.662751 ->8.860129            28.293958 ->9.072101            
couple                  24.839891 ->13.967830           24.826232 ->9.547543            28.640519 ->9.785804            
elk                     24.716747 ->13.648936           24.721614 ->9.372263            28.441795 ->9.588513            
family                  25.346727 ->15.992124           25.029951 ->11.637026           27.087920 ->11.822188           
fisher                  24.708380 ->16.308729           24.719619 ->12.021891           27.316909 ->12.172988           
foxy                    24.841433 ->10.540074           24.819308 ->6.393862            29.526125 ->6.674534            
geckos                  24.683173 ->12.385186           24.692426 ->8.173046            29.042557 ->8.408364            
lady                    24.648239 ->15.963699           24.667623 ->11.615710           27.203527 ->11.793501           
lake                    25.052009 ->11.645089           24.916885 ->7.497407            28.954386 ->7.733881            
log                     24.911347 ->10.478108           24.858786 ->6.257781            29.037535 ->6.544792            
monument                24.953394 ->14.418031           24.868382 ->10.075197           28.160391 ->10.294051           
native                  24.816503 ->15.626612           24.813857 ->11.361586           27.769748 ->11.546439           
redwood                 25.033114 ->13.760228           24.930910 ->9.595335            27.991817 ->9.797321            
roping                  25.604926 ->14.153470           25.205465 ->9.901557            28.074527 ->10.111305           
rushmore                24.709830 ->12.546076           24.731029 ->8.357879            28.243468 ->8.625048            
shroom                  24.942073 ->14.903657           24.865940 ->10.612939           28.122947 ->10.789551           
snow                    25.630263 ->13.126091           25.188521 ->8.687876            28.415715 ->8.944658            
sunset                  24.766513 ->14.571545           24.745671 ->10.271361           27.554381 ->10.479033           
sunsetcolor             25.103546 ->17.642402           24.950085 ->13.376601           26.948004 ->13.490825           
swarm                   24.667630 ->16.306928           24.676266 ->11.957177           27.209710 ->12.119220           
trolley                 24.764424 ->11.674705           24.746654 ->7.436108            28.694791 ->7.703761            
turtle                  24.809788 ->16.196592           24.784972 ->11.919987           27.391830 ->12.062167           
veggies                 25.513827 ->13.269316           25.138314 ->8.949009            28.262391 ->9.186063            
woman                   24.802186 ->14.684580           24.779093 ->10.415165           27.964419 ->10.616905           

Average PSNR: 24.930417 ->13.956022           
Average PSNR-HVS: 24.845342 ->9.691158            
Average PSNR-HVS-M: 28.074060 ->9.904771            
