Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->6.943960            25.061478 ->3.111024            30.232067 ->3.434076            
aerial                  24.948428 ->8.033431            24.943752 ->4.253486            29.533654 ->4.557894            
boston                  24.797214 ->8.593359            24.818571 ->4.663799            29.457386 ->4.951218            
bridge                  24.879643 ->8.138661            24.883403 ->4.275697            29.083745 ->4.589044            
butter                  24.882186 ->9.121458            24.877576 ->4.970497            28.707374 ->5.321900            
cactus                  24.821280 ->7.452721            24.845002 ->3.616607            29.397019 ->3.895649            
child                   24.792258 ->7.678265            24.809341 ->3.847954            30.099317 ->4.107285            
couple                  24.915018 ->6.748106            24.924325 ->2.643454            30.977400 ->2.977639            
elk                     24.966659 ->6.629671            24.981376 ->2.648950            31.288473 ->2.983284            
family                  24.925898 ->11.012121           24.931269 ->7.264022            27.746531 ->7.556415            
fisher                  24.790532 ->10.869812           24.806613 ->6.757130            28.377728 ->7.108959            
foxy                    24.883180 ->6.171087            24.901741 ->2.403454            31.237774 ->2.677880            
geckos                  24.917349 ->6.710056            24.931486 ->2.977028            31.891460 ->3.311400            
lady                    24.800469 ->11.224544           24.815407 ->7.135482            27.774881 ->7.403001            
lake                    24.893488 ->6.427722            24.909181 ->2.698168            30.762298 ->2.956411            
log                     24.833803 ->6.900450            24.854369 ->3.216774            30.075435 ->3.477002            
monument                25.087339 ->6.689622            25.067933 ->2.805285            30.614394 ->3.129102            
native                  25.114155 ->7.189327            25.093801 ->3.146007            30.293730 ->3.516705            
redwood                 24.889198 ->8.231582            24.900047 ->4.397809            29.431842 ->4.713234            
roping                  24.773641 ->8.253027            24.789357 ->4.293949            29.100786 ->4.584186            
rushmore                25.089369 ->5.639020            25.095722 ->1.952231            30.491433 ->2.208108            
shroom                  24.984799 ->7.332116            24.991088 ->3.190034            30.604250 ->3.555480            
snow                    24.775606 ->8.458829            24.797847 ->4.456719            29.301987 ->4.762116            
sunset                  24.751316 ->10.321755           24.770623 ->6.472948            28.178072 ->6.774506            
sunsetcolor             24.734340 ->14.126082           24.746810 ->9.887461            27.189808 ->10.183188           
swarm                   24.783559 ->10.389025           24.799355 ->6.332197            27.981046 ->6.652277            
trolley                 24.797436 ->7.330323            24.821178 ->3.506723            30.098471 ->3.765016            
turtle                  24.736022 ->10.742317           24.753733 ->6.598575            28.131582 ->6.905389            
veggies                 24.731168 ->9.030021            24.753460 ->5.023403            29.103585 ->5.298718            
woman                   24.982985 ->6.489955            24.990185 ->2.502203            30.441029 ->2.828220            

Average PSNR: 24.878403 ->8.295948            
Average PSNR-HVS: 24.888868 ->4.368302            
Average PSNR-HVS-M: 29.586819 ->4.672843            
