Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->23.070156           24.752885 ->19.545309           28.019241 ->21.227664           
aerial                  24.694600 ->21.927698           24.705980 ->18.285799           27.844180 ->19.562020           
boston                  24.684452 ->23.547642           24.698852 ->19.802330           27.987708 ->21.388699           
bridge                  25.011427 ->23.956185           24.965655 ->20.355286           28.092329 ->22.167782           
butter                  25.567147 ->27.399966           25.216857 ->23.715797           27.676631 ->25.561897           
cactus                  24.659023 ->23.379765           24.679678 ->19.744574           28.252332 ->21.791194           
child                   24.648744 ->21.898188           24.662751 ->18.855201           28.293958 ->20.597013           
couple                  24.839891 ->25.576088           24.826232 ->21.204724           28.640519 ->22.973221           
elk                     24.716747 ->24.634960           24.721614 ->20.474120           28.441795 ->22.213748           
family                  25.346727 ->29.362550           25.029951 ->25.592180           27.087920 ->27.392116           
fisher                  24.708380 ->28.728316           24.719619 ->24.495216           27.316909 ->25.863068           
foxy                    24.841433 ->18.732629           24.819308 ->15.664265           29.526125 ->17.545936           
geckos                  24.683173 ->21.832646           24.692426 ->18.045788           29.042557 ->19.870446           
lady                    24.648239 ->29.222328           24.667623 ->24.916680           27.203527 ->26.655560           
lake                    25.052009 ->20.978905           24.916885 ->18.256939           28.954386 ->20.336606           
log                     24.911347 ->19.209199           24.858786 ->16.073452           29.037535 ->18.040752           
monument                24.953394 ->24.720808           24.868382 ->20.717769           28.160391 ->22.148227           
native                  24.816503 ->26.801096           24.813857 ->22.710597           27.769748 ->24.307351           
redwood                 25.033114 ->23.799201           24.930910 ->20.608298           27.991817 ->22.569792           
roping                  25.604926 ->25.146559           25.205465 ->21.445272           28.074527 ->23.280633           
rushmore                24.709830 ->21.247159           24.731029 ->18.436887           28.243468 ->20.418117           
shroom                  24.942073 ->28.127322           24.865940 ->23.584582           28.122947 ->25.380306           
snow                    25.630263 ->25.541118           25.188521 ->22.013679           28.415715 ->24.355876           
sunset                  24.766513 ->25.188663           24.745671 ->21.735470           27.554381 ->23.542878           
sunsetcolor             25.103546 ->33.482006           24.950085 ->28.952661           26.948004 ->30.224452           
swarm                   24.667630 ->29.607881           24.676266 ->25.092142           27.209710 ->26.615604           
trolley                 24.764424 ->20.261953           24.746654 ->17.080066           28.694791 ->18.821134           
turtle                  24.809788 ->29.043602           24.784972 ->24.502312           27.391830 ->26.008756           
veggies                 25.513827 ->24.259793           25.138314 ->20.720284           28.262391 ->22.622015           
woman                   24.802186 ->26.110358           24.779093 ->22.304381           27.964419 ->24.135743           

Average PSNR: 24.930417 ->24.893158           
Average PSNR-HVS: 24.845342 ->21.164402           
Average PSNR-HVS-M: 28.074060 ->22.920620           
