Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->12.708259           25.061478 ->11.101844           30.232067 ->12.801433           
aerial                  24.948428 ->13.761209           24.943752 ->12.307876           29.533654 ->14.021074           
boston                  24.797214 ->14.924571           24.818571 ->13.288572           29.457386 ->15.076183           
bridge                  24.879643 ->14.111145           24.883403 ->12.553501           29.083745 ->14.293176           
butter                  24.882186 ->16.241231           24.877576 ->15.008537           28.707374 ->17.271768           
cactus                  24.821280 ->13.839091           24.845002 ->12.634406           29.397019 ->14.706759           
child                   24.792258 ->14.304829           24.809341 ->12.988270           30.099317 ->14.911280           
couple                  24.915018 ->14.034372           24.924325 ->12.351564           30.977400 ->14.428171           
elk                     24.966659 ->13.094712           24.981376 ->11.587541           31.288473 ->13.652018           
family                  24.925898 ->16.555662           24.931269 ->15.301126           27.746531 ->16.885884           
fisher                  24.790532 ->17.515748           24.806613 ->15.667323           28.377728 ->17.580275           
foxy                    24.883180 ->12.521986           24.901741 ->11.757016           31.237774 ->13.941339           
geckos                  24.917349 ->12.240445           24.931486 ->10.982649           31.891460 ->13.026601           
lady                    24.800469 ->19.303389           24.815407 ->17.807207           27.774881 ->19.807745           
lake                    24.893488 ->12.668293           24.909181 ->11.952544           30.762298 ->14.062430           
log                     24.833803 ->13.080932           24.854369 ->12.365506           30.075435 ->14.385579           
monument                25.087339 ->12.438916           25.067933 ->10.718868           30.614394 ->12.348632           
native                  25.114155 ->13.369763           25.093801 ->11.640314           30.293730 ->13.566113           
redwood                 24.889198 ->14.076546           24.900047 ->12.795365           29.431842 ->14.735253           
roping                  24.773641 ->15.387722           24.789357 ->13.978194           29.100786 ->16.030863           
rushmore                25.089369 ->11.654971           25.095722 ->10.748218           30.491433 ->12.580028           
shroom                  24.984799 ->14.593418           24.991088 ->13.121470           30.604250 ->15.368383           
snow                    24.775606 ->15.529073           24.797847 ->14.522741           29.301987 ->16.762101           
sunset                  24.751316 ->16.396385           24.770623 ->15.160209           28.178072 ->17.002339           
sunsetcolor             24.734340 ->22.818505           24.746810 ->21.286169           27.189808 ->23.428171           
swarm                   24.783559 ->17.195828           24.799355 ->15.330255           27.981046 ->17.118498           
trolley                 24.797436 ->13.873282           24.821178 ->12.609819           30.098471 ->14.451735           
turtle                  24.736022 ->18.686275           24.753733 ->17.225928           28.131582 ->19.376195           
veggies                 24.731168 ->16.402557           24.753460 ->14.944819           29.103585 ->17.014146           
woman                   24.982985 ->13.118235           24.990185 ->11.566980           30.441029 ->13.508427           

Average PSNR: 24.878403 ->14.881578           
Average PSNR-HVS: 24.888868 ->13.510161           
Average PSNR-HVS-M: 29.586819 ->15.471420           
