Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->15.481987           24.752885 ->11.285738           28.019241 ->11.580790           
aerial                  24.694600 ->18.452035           24.705980 ->14.299833           27.844180 ->14.871344           
boston                  24.684452 ->17.252385           24.698852 ->12.904352           27.987708 ->13.285153           
bridge                  25.011427 ->12.192249           24.965655 ->7.914770            28.092329 ->8.058159            
butter                  25.567147 ->22.718811           25.216857 ->18.199618           27.676631 ->18.938689           
cactus                  24.659023 ->18.763333           24.679678 ->13.900636           28.252332 ->14.669530           
child                   24.648744 ->17.677964           24.662751 ->13.501455           28.293958 ->14.061484           
couple                  24.839891 ->12.491365           24.826232 ->8.004340            28.640519 ->8.156236            
elk                     24.716747 ->18.164947           24.721614 ->13.455034           28.441795 ->13.943902           
family                  25.346727 ->22.287225           25.029951 ->17.661992           27.087920 ->18.192561           
fisher                  24.708380 ->16.632724           24.719619 ->12.269232           27.316909 ->12.390362           
foxy                    24.841433 ->14.311519           24.819308 ->9.964402            29.526125 ->10.564867           
geckos                  24.683173 ->14.860132           24.692426 ->10.292759           29.042557 ->10.674931           
lady                    24.648239 ->15.682636           24.667623 ->11.232551           27.203527 ->11.374443           
lake                    25.052009 ->17.554424           24.916885 ->13.401563           28.954386 ->14.232898           
log                     24.911347 ->12.862464           24.858786 ->8.521063            29.037535 ->8.956584            
monument                24.953394 ->14.386389           24.868382 ->9.994969            28.160391 ->10.166697           
native                  24.816503 ->13.390618           24.813857 ->9.130415            27.769748 ->9.223494            
redwood                 25.033114 ->17.908352           24.930910 ->13.724751           27.991817 ->14.172488           
roping                  25.604926 ->18.553626           25.205465 ->14.064245           28.074527 ->14.522489           
rushmore                24.709830 ->12.636768           24.731029 ->8.390177            28.243468 ->8.632691            
shroom                  24.942073 ->18.022069           24.865940 ->13.503284           28.122947 ->13.790072           
snow                    25.630263 ->16.025382           25.188521 ->11.362123           28.415715 ->11.753508           
sunset                  24.766513 ->17.790167           24.745671 ->13.407839           27.554381 ->13.780276           
sunsetcolor             25.103546 ->15.894776           24.950085 ->11.665967           26.948004 ->11.714479           
swarm                   24.667630 ->19.579596           24.676266 ->14.832723           27.209710 ->15.106293           
trolley                 24.764424 ->16.126454           24.746654 ->11.646726           28.694791 ->12.273431           
turtle                  24.809788 ->18.679430           24.784972 ->14.188434           27.391830 ->14.397111           
veggies                 25.513827 ->18.761507           25.138314 ->14.104874           28.262391 ->14.753868           
woman                   24.802186 ->18.276988           24.779093 ->13.879187           27.964419 ->14.253622           

Average PSNR: 24.930417 ->16.780611           
Average PSNR-HVS: 24.845342 ->12.356835           
Average PSNR-HVS-M: 28.074060 ->12.749748           
