Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->14.140925           24.752885 ->9.769646            28.019241 ->10.033679           
aerial                  24.694600 ->13.919110           24.705980 ->9.619432            27.844180 ->9.856932            
boston                  24.684452 ->13.796622           24.698852 ->9.427408            27.987708 ->9.649656            
bridge                  25.011427 ->13.960673           24.965655 ->9.500432            28.092329 ->9.776308            
butter                  25.567147 ->17.256408           25.216857 ->12.897365           27.676631 ->13.125935           
cactus                  24.659023 ->13.228961           24.679678 ->8.887786            28.252332 ->9.129832            
child                   24.648744 ->13.037458           24.662751 ->8.833760            28.293958 ->9.052424            
couple                  24.839891 ->13.281211           24.826232 ->8.763815            28.640519 ->8.998581            
elk                     24.716747 ->13.764981           24.721614 ->9.293969            28.441795 ->9.515652            
family                  25.346727 ->17.604620           25.029951 ->13.050250           27.087920 ->13.280403           
fisher                  24.708380 ->15.688071           24.719619 ->11.088770           27.316909 ->11.269447           
foxy                    24.841433 ->10.536623           24.819308 ->6.307272            29.526125 ->6.572861            
geckos                  24.683173 ->12.169837           24.692426 ->7.839579            29.042557 ->8.076308            
lady                    24.648239 ->15.035826           24.667623 ->10.504445           27.203527 ->10.708639           
lake                    25.052009 ->12.569906           24.916885 ->8.338240            28.954386 ->8.616727            
log                     24.911347 ->10.584254           24.858786 ->6.238993            29.037535 ->6.543577            
monument                24.953394 ->13.932532           24.868382 ->9.344664            28.160391 ->9.580148            
native                  24.816503 ->14.674248           24.813857 ->10.074025           27.769748 ->10.275580           
redwood                 25.033114 ->14.649820           24.930910 ->10.335054           27.991817 ->10.585407           
roping                  25.604926 ->15.304716           25.205465 ->10.925949           28.074527 ->11.174702           
rushmore                24.709830 ->11.741417           24.731029 ->7.516739            28.243468 ->7.759942            
shroom                  24.942073 ->15.517159           24.865940 ->11.064285           28.122947 ->11.266623           
snow                    25.630263 ->13.988395           25.188521 ->9.333808            28.415715 ->9.651960            
sunset                  24.766513 ->14.455692           24.745671 ->10.091074           27.554381 ->10.323729           
sunsetcolor             25.103546 ->17.680400           24.950085 ->13.152807           26.948004 ->13.305607           
swarm                   24.667630 ->16.005995           24.676266 ->11.580664           27.209710 ->11.749495           
trolley                 24.764424 ->11.622574           24.746654 ->7.356523            28.694791 ->7.625879            
turtle                  24.809788 ->15.623515           24.784972 ->11.055901           27.391830 ->11.239364           
veggies                 25.513827 ->14.407974           25.138314 ->9.905553            28.262391 ->10.188266           
woman                   24.802186 ->14.953910           24.779093 ->10.611752           27.964419 ->10.819447           

Average PSNR: 24.930417 ->14.171128           
Average PSNR-HVS: 24.845342 ->9.756999            
Average PSNR-HVS-M: 28.074060 ->9.991770            
