Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->6.823349            25.061478 ->2.978317            30.232067 ->3.283122            
aerial                  24.948428 ->7.655488            24.943752 ->3.808389            29.533654 ->4.101456            
boston                  24.797214 ->8.658078            24.818571 ->4.722330            29.457386 ->5.016777            
bridge                  24.879643 ->7.985095            24.883403 ->4.095850            29.083745 ->4.399759            
butter                  24.882186 ->8.992569            24.877576 ->4.766551            28.707374 ->5.119456            
cactus                  24.821280 ->7.652618            24.845002 ->3.815037            29.397019 ->4.117424            
child                   24.792258 ->7.889510            24.809341 ->4.059708            30.099317 ->4.331765            
couple                  24.915018 ->7.386654            24.924325 ->3.305085            30.977400 ->3.658040            
elk                     24.966659 ->6.710935            24.981376 ->2.715733            31.288473 ->3.053794            
family                  24.925898 ->10.011509           24.931269 ->6.052054            27.746531 ->6.337594            
fisher                  24.790532 ->9.618557            24.806613 ->5.347054            28.377728 ->5.671663            
foxy                    24.883180 ->6.346395            24.901741 ->2.570657            31.237774 ->2.868573            
geckos                  24.917349 ->5.421880            24.931486 ->1.558464            31.891460 ->1.824254            
lady                    24.800469 ->11.371533           24.815407 ->7.121633            27.774881 ->7.420533            
lake                    24.893488 ->6.411356            24.909181 ->2.656869            30.762298 ->2.925625            
log                     24.833803 ->7.030544            24.854369 ->3.349821            30.075435 ->3.608930            
monument                25.087339 ->7.169954            25.067933 ->3.294148            30.614394 ->3.644767            
native                  25.114155 ->7.209808            25.093801 ->3.157950            30.293730 ->3.532108            
redwood                 24.889198 ->7.583827            24.900047 ->3.679796            29.431842 ->3.973514            
roping                  24.773641 ->8.657178            24.789357 ->4.665608            29.100786 ->4.981852            
rushmore                25.089369 ->6.988817            25.095722 ->3.436648            30.491433 ->3.782054            
shroom                  24.984799 ->7.219865            24.991088 ->3.063586            30.604250 ->3.423098            
snow                    24.775606 ->8.192039            24.797847 ->4.141815            29.301987 ->4.430551            
sunset                  24.751316 ->9.316072            24.770623 ->5.360244            28.178072 ->5.621098            
sunsetcolor             24.734340 ->13.436290           24.746810 ->9.067949            27.189808 ->9.367877            
swarm                   24.783559 ->10.719110           24.799355 ->6.680725            27.981046 ->6.995805            
trolley                 24.797436 ->7.766556            24.821178 ->3.976135            30.098471 ->4.253553            
turtle                  24.736022 ->10.792667           24.753733 ->6.629940            28.131582 ->6.926955            
veggies                 24.731168 ->9.034211            24.753460 ->4.986773            29.103585 ->5.264605            
woman                   24.982985 ->7.337136            24.990185 ->3.388578            30.441029 ->3.753269            

Average PSNR: 24.878403 ->8.246320            
Average PSNR-HVS: 24.888868 ->4.281782            
Average PSNR-HVS-M: 29.586819 ->4.589662            
