Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->18.019767           24.752885 ->13.739365           28.019241 ->14.323788           
aerial                  24.694600 ->18.134931           24.705980 ->14.004220           27.844180 ->14.596507           
boston                  24.684452 ->20.296689           24.698852 ->16.107808           27.987708 ->16.894919           
bridge                  25.011427 ->19.406827           24.965655 ->15.116299           28.092329 ->15.801073           
butter                  25.567147 ->21.494595           25.216857 ->17.032003           27.676631 ->17.615799           
cactus                  24.659023 ->19.756029           24.679678 ->15.555101           28.252332 ->16.444102           
child                   24.648744 ->19.711258           24.662751 ->16.051231           28.293958 ->17.023489           
couple                  24.839891 ->20.487077           24.826232 ->15.941292           28.640519 ->16.720384           
elk                     24.716747 ->20.075552           24.721614 ->15.673852           28.441795 ->16.387322           
family                  25.346727 ->21.689496           25.029951 ->16.885656           27.087920 ->17.426140           
fisher                  24.708380 ->24.856532           24.719619 ->20.352446           27.316909 ->21.086428           
foxy                    24.841433 ->14.947111           24.819308 ->10.898117           29.526125 ->11.615806           
geckos                  24.683173 ->20.294211           24.692426 ->16.300299           29.042557 ->17.563775           
lady                    24.648239 ->25.192648           24.667623 ->20.658995           27.203527 ->21.604528           
lake                    25.052009 ->15.932329           24.916885 ->11.837618           28.954386 ->12.445628           
log                     24.911347 ->13.917377           24.858786 ->9.713388            29.037535 ->10.330755           
monument                24.953394 ->20.331938           24.868382 ->15.760583           28.160391 ->16.455450           
native                  24.816503 ->23.794530           24.813857 ->19.565923           27.769748 ->20.414511           
redwood                 25.033114 ->19.122869           24.930910 ->15.002496           27.991817 ->15.621510           
roping                  25.604926 ->20.280167           25.205465 ->15.955304           28.074527 ->16.642331           
rushmore                24.709830 ->17.345104           24.731029 ->13.451708           28.243468 ->14.263971           
shroom                  24.942073 ->20.605632           24.865940 ->16.010226           28.122947 ->16.539264           
snow                    25.630263 ->17.023297           25.188521 ->12.306062           28.415715 ->12.943308           
sunset                  24.766513 ->20.102849           24.745671 ->15.847270           27.554381 ->16.559135           
sunsetcolor             25.103546 ->28.425509           24.950085 ->23.854482           26.948004 ->24.490370           
swarm                   24.667630 ->23.994885           24.676266 ->19.459080           27.209710 ->20.089861           
trolley                 24.764424 ->15.738614           24.746654 ->11.629273           28.694791 ->12.308436           
turtle                  24.809788 ->23.267198           24.784972 ->18.757398           27.391830 ->19.345147           
veggies                 25.513827 ->18.098486           25.138314 ->13.512540           28.262391 ->14.143241           
woman                   24.802186 ->20.457826           24.779093 ->16.087250           27.964419 ->16.736164           

Average PSNR: 24.930417 ->20.093378           
Average PSNR-HVS: 24.845342 ->15.768910           
Average PSNR-HVS-M: 28.074060 ->16.481105           
