Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->7.660423            25.061478 ->3.852830            30.232067 ->4.261953            
aerial                  24.948428 ->8.639595            24.943752 ->4.851151            29.533654 ->5.263798            
boston                  24.797214 ->10.289297           24.818571 ->6.456559            29.457386 ->6.927841            
bridge                  24.879643 ->8.987434            24.883403 ->5.139306            29.083745 ->5.564146            
butter                  24.882186 ->10.075468           24.877576 ->5.825918            28.707374 ->6.309074            
cactus                  24.821280 ->8.584678            24.845002 ->4.822879            29.397019 ->5.233337            
child                   24.792258 ->9.270030            24.809341 ->5.527405            30.099317 ->5.953042            
couple                  24.915018 ->8.293085            24.924325 ->4.178804            30.977400 ->4.657271            
elk                     24.966659 ->7.543837            24.981376 ->3.554299            31.288473 ->4.004014            
family                  24.925898 ->11.427995           24.931269 ->7.594707            27.746531 ->8.011268            
fisher                  24.790532 ->11.152723           24.806613 ->6.874570            28.377728 ->7.370996            
foxy                    24.883180 ->7.212724            24.901741 ->3.497991            31.237774 ->3.905851            
geckos                  24.917349 ->6.384117            24.931486 ->2.536090            31.891460 ->2.926718            
lady                    24.800469 ->13.409101           24.815407 ->9.279662            27.774881 ->9.751671            
lake                    24.893488 ->7.430690            24.909181 ->3.747193            30.762298 ->4.133246            
log                     24.833803 ->8.050108            24.854369 ->4.462125            30.075435 ->4.840354            
monument                25.087339 ->7.955227            25.067933 ->4.098623            30.614394 ->4.557539            
native                  25.114155 ->7.893767            25.093801 ->3.823270            30.293730 ->4.296671            
redwood                 24.889198 ->8.617382            24.900047 ->4.760340            29.431842 ->5.173880            
roping                  24.773641 ->9.838428            24.789357 ->5.879503            29.100786 ->6.337491            
rushmore                25.089369 ->7.591634            25.095722 ->4.148428            30.491433 ->4.571305            
shroom                  24.984799 ->8.052411            24.991088 ->3.852313            30.604250 ->4.335226            
snow                    24.775606 ->9.562166            24.797847 ->5.484157            29.301987 ->5.936637            
sunset                  24.751316 ->10.793114           24.770623 ->6.896489            28.178072 ->7.306130            
sunsetcolor             24.734340 ->16.094915           24.746810 ->11.712321           27.189808 ->12.243166           
swarm                   24.783559 ->11.928504           24.799355 ->7.919373            27.981046 ->8.373452            
trolley                 24.797436 ->9.022564            24.821178 ->5.308521            30.098471 ->5.731073            
turtle                  24.736022 ->12.400360           24.753733 ->8.218963            28.131582 ->8.689697            
veggies                 24.731168 ->10.826217           24.753460 ->6.810233            29.103585 ->7.278480            
woman                   24.982985 ->8.050974            24.990185 ->4.123258            30.441029 ->4.587885            

Average PSNR: 24.878403 ->9.434632            
Average PSNR-HVS: 24.888868 ->5.507909            
Average PSNR-HVS-M: 29.586819 ->5.951107            
