Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->19.589571           24.752885 ->15.508855           28.019241 ->16.268001           
aerial                  24.694600 ->19.700880           24.705980 ->15.688108           27.844180 ->16.442683           
boston                  24.684452 ->21.557899           24.698852 ->17.512252           27.987708 ->18.513176           
bridge                  25.011427 ->20.077553           24.965655 ->15.935315           28.092329 ->16.742710           
butter                  25.567147 ->21.508711           25.216857 ->17.268797           27.676631 ->17.786846           
cactus                  24.659023 ->20.811451           24.679678 ->16.791524           28.252332 ->17.947594           
child                   24.648744 ->20.560205           24.662751 ->17.096266           28.293958 ->18.268537           
couple                  24.839891 ->21.878428           24.826232 ->17.237925           28.640519 ->18.193153           
elk                     24.716747 ->21.585821           24.721614 ->17.223944           28.441795 ->18.179615           
family                  25.346727 ->21.377685           25.029951 ->16.849425           27.087920 ->17.292896           
fisher                  24.708380 ->25.865400           24.719619 ->21.365953           27.316909 ->22.181908           
foxy                    24.841433 ->16.587773           24.819308 ->12.874167           29.526125 ->13.925341           
geckos                  24.683173 ->20.593040           24.692426 ->16.603445           29.042557 ->17.965882           
lady                    24.648239 ->25.902301           24.667623 ->21.333638           27.203527 ->22.371344           
lake                    25.052009 ->17.328998           24.916885 ->13.452949           28.954386 ->14.214695           
log                     24.911347 ->15.524788           24.858786 ->11.473268           29.037535 ->12.283632           
monument                24.953394 ->21.181797           24.868382 ->16.756615           28.160391 ->17.501788           
native                  24.816503 ->24.886847           24.813857 ->20.733440           27.769748 ->21.805283           
redwood                 25.033114 ->20.223671           24.930910 ->16.279292           27.991817 ->17.028391           
roping                  25.604926 ->20.429857           25.205465 ->16.229298           28.074527 ->16.883700           
rushmore                24.709830 ->19.153037           24.731029 ->15.522537           28.243468 ->16.668303           
shroom                  24.942073 ->22.191273           24.865940 ->17.590672           28.122947 ->18.215220           
snow                    25.630263 ->18.028264           25.188521 ->13.395592           28.415715 ->13.978048           
sunset                  24.766513 ->21.575525           24.745671 ->17.323026           27.554381 ->18.148851           
sunsetcolor             25.103546 ->26.542717           24.950085 ->22.198228           26.948004 ->22.605181           
swarm                   24.667630 ->25.781171           24.676266 ->21.078818           27.209710 ->21.908083           
trolley                 24.764424 ->17.566118           24.746654 ->13.573455           28.694791 ->14.455161           
turtle                  24.809788 ->24.798292           24.784972 ->20.153228           27.391830 ->20.796646           
veggies                 25.513827 ->18.503727           25.138314 ->14.078378           28.262391 ->14.684192           
woman                   24.802186 ->22.461281           24.779093 ->18.184101           27.964419 ->19.054745           

Average PSNR: 24.930417 ->21.125803           
Average PSNR-HVS: 24.845342 ->16.910417           
Average PSNR-HVS-M: 28.074060 ->17.743720           
