Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->9.886181            25.061478 ->6.538154            30.232067 ->7.172342            
aerial                  24.948428 ->11.156481           24.943752 ->7.947328            29.533654 ->8.595196            
boston                  24.797214 ->12.446652           24.818571 ->9.120361            29.457386 ->9.821605            
bridge                  24.879643 ->11.351913           24.883403 ->8.038855            29.083745 ->8.687380            
butter                  24.882186 ->11.983346           24.877576 ->7.951287            28.707374 ->8.590995            
cactus                  24.821280 ->11.249816           24.845002 ->8.075724            29.397019 ->8.809027            
child                   24.792258 ->12.017524           24.809341 ->8.980457            30.099317 ->9.750807            
couple                  24.915018 ->10.138277           24.924325 ->6.290618            30.977400 ->6.961624            
elk                     24.966659 ->9.742551            24.981376 ->6.085817            31.288473 ->6.763117            
family                  24.925898 ->13.717229           24.931269 ->10.529391           27.746531 ->11.063728           
fisher                  24.790532 ->14.051371           24.806613 ->10.138811           28.377728 ->10.841838           
foxy                    24.883180 ->9.906693            24.901741 ->6.866138            31.237774 ->7.596431            
geckos                  24.917349 ->10.116567           24.931486 ->7.038993            31.891460 ->7.883668            
lady                    24.800469 ->15.506405           24.815407 ->11.774683           27.774881 ->12.430999           
lake                    24.893488 ->10.350817           24.909181 ->7.490947            30.762298 ->8.221401            
log                     24.833803 ->10.783036           24.854369 ->8.027649            30.075435 ->8.746049            
monument                25.087339 ->9.230060            25.067933 ->5.678799            30.614394 ->6.241205            
native                  25.114155 ->9.669052            25.093801 ->5.827103            30.293730 ->6.447030            
redwood                 24.889198 ->11.537972           24.900047 ->8.271564            29.431842 ->8.982200            
roping                  24.773641 ->12.241894           24.789357 ->8.788150            29.100786 ->9.511406            
rushmore                25.089369 ->8.679741            25.095722 ->5.621392            30.491433 ->6.164209            
shroom                  24.984799 ->10.213104           24.991088 ->6.218919            30.604250 ->6.881499            
snow                    24.775606 ->12.535993           24.797847 ->9.085175            29.301987 ->9.846385            
sunset                  24.751316 ->14.018707           24.770623 ->10.865486           28.178072 ->11.603290           
sunsetcolor             24.734340 ->18.049940           24.746810 ->13.870611           27.189808 ->14.504546           
swarm                   24.783559 ->13.779925           24.799355 ->10.060497           27.981046 ->10.710247           
trolley                 24.797436 ->11.393347           24.821178 ->8.322960            30.098471 ->9.018536            
turtle                  24.736022 ->14.641788           24.753733 ->10.705892           28.131582 ->11.392501           
veggies                 24.731168 ->13.654855           24.753460 ->10.244949           29.103585 ->11.027872           
woman                   24.982985 ->9.430702            24.990185 ->5.768795            30.441029 ->6.370040            

Average PSNR: 24.878403 ->11.782731           
Average PSNR-HVS: 24.888868 ->8.340850            
Average PSNR-HVS-M: 29.586819 ->9.021239            
