Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->25.491848           24.752885 ->22.276751           28.019241 ->24.475637           
aerial                  24.694600 ->25.661597           24.705980 ->22.369574           27.844180 ->24.428208           
boston                  24.684452 ->25.791726           24.698852 ->22.328593           27.987708 ->24.423899           
bridge                  25.011427 ->26.336442           24.965655 ->23.106747           28.092329 ->25.387015           
butter                  25.567147 ->28.162483           25.216857 ->24.660225           27.676631 ->26.465999           
cactus                  24.659023 ->25.801036           24.679678 ->22.517869           28.252332 ->25.151396           
child                   24.648744 ->24.590925           24.662751 ->21.603736           28.293958 ->23.867596           
couple                  24.839891 ->27.145353           24.826232 ->23.243373           28.640519 ->25.675951           
elk                     24.716747 ->26.578739           24.721614 ->22.867494           28.441795 ->25.243312           
family                  25.346727 ->28.471270           25.029951 ->24.715087           27.087920 ->26.162713           
fisher                  24.708380 ->28.488578           24.719619 ->24.292188           27.316909 ->25.875085           
foxy                    24.841433 ->23.494474           24.819308 ->21.057126           29.526125 ->24.239055           
geckos                  24.683173 ->24.996261           24.692426 ->21.669947           29.042557 ->24.372741           
lady                    24.648239 ->28.648792           24.667623 ->24.471290           27.203527 ->26.181814           
lake                    25.052009 ->23.302705           24.916885 ->21.034334           28.954386 ->23.691599           
log                     24.911347 ->23.616713           24.858786 ->21.211210           29.037535 ->24.287045           
monument                24.953394 ->26.714398           24.868382 ->22.949131           28.160391 ->25.029251           
native                  24.816503 ->27.512541           24.813857 ->23.567891           27.769748 ->25.425514           
redwood                 25.033114 ->26.089129           24.930910 ->22.936422           27.991817 ->25.112519           
roping                  25.604926 ->27.125624           25.205465 ->23.858548           28.074527 ->26.070092           
rushmore                24.709830 ->24.114888           24.731029 ->21.684216           28.243468 ->24.214432           
shroom                  24.942073 ->28.290766           24.865940 ->24.073755           28.122947 ->26.125982           
snow                    25.630263 ->26.929596           25.188521 ->23.778212           28.415715 ->26.361853           
sunset                  24.766513 ->26.940934           24.745671 ->23.523344           27.554381 ->25.579932           
sunsetcolor             25.103546 ->29.669956           24.950085 ->25.283512           26.948004 ->26.476210           
swarm                   24.667630 ->28.677977           24.676266 ->24.366852           27.209710 ->26.005072           
trolley                 24.764424 ->23.948872           24.746654 ->21.155043           28.694791 ->23.742981           
turtle                  24.809788 ->28.934934           24.784972 ->24.660927           27.391830 ->26.334224           
veggies                 25.513827 ->26.699346           25.138314 ->23.569390           28.262391 ->25.963707           
woman                   24.802186 ->26.865040           24.779093 ->23.179011           27.964419 ->25.229894           

Average PSNR: 24.930417 ->26.503098           
Average PSNR-HVS: 24.845342 ->23.067060           
Average PSNR-HVS-M: 28.074060 ->25.253358           
