Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->18.183676           25.061478 ->18.100382           30.232067 ->21.699529           
aerial                  24.948428 ->19.806679           24.943752 ->19.065930           29.533654 ->22.208503           
boston                  24.797214 ->20.844520           24.818571 ->19.547173           29.457386 ->22.608659           
bridge                  24.879643 ->20.357550           24.883403 ->19.867253           29.083745 ->23.231741           
butter                  24.882186 ->22.913631           24.877576 ->21.927455           28.707374 ->25.546354           
cactus                  24.821280 ->18.887723           24.845002 ->18.810648           29.397019 ->22.554369           
child                   24.792258 ->18.877148           24.809341 ->18.070410           30.099317 ->21.109117           
couple                  24.915018 ->19.513590           24.924325 ->18.992341           30.977400 ->23.000058           
elk                     24.966659 ->18.405163           24.981376 ->18.043473           31.288473 ->21.924201           
family                  24.925898 ->24.068583           24.931269 ->22.636116           27.746531 ->25.003246           
fisher                  24.790532 ->24.054046           24.806613 ->22.280672           28.377728 ->25.179049           
foxy                    24.883180 ->15.537955           24.901741 ->15.276813           31.237774 ->18.210914           
geckos                  24.917349 ->15.955970           24.931486 ->15.613891           31.891460 ->18.839908           
lady                    24.800469 ->24.903479           24.815407 ->23.226355           27.774881 ->25.842220           
lake                    24.893488 ->15.409352           24.909181 ->15.089485           30.762298 ->17.841113           
log                     24.833803 ->16.446262           24.854369 ->16.379244           30.075435 ->19.326540           
monument                25.087339 ->19.452166           25.067933 ->18.763404           30.614394 ->22.370291           
native                  25.114155 ->19.979674           25.093801 ->19.439152           30.293730 ->23.284817           
redwood                 24.889198 ->19.558784           24.900047 ->19.144805           29.431842 ->22.464543           
roping                  24.773641 ->20.826178           24.789357 ->20.118694           29.100786 ->23.577684           
rushmore                25.089369 ->15.623358           25.095722 ->15.802677           30.491433 ->18.921886           
shroom                  24.984799 ->20.355733           24.991088 ->19.780959           30.604250 ->23.839003           
snow                    24.775606 ->20.235282           24.797847 ->19.717152           29.301987 ->23.081549           
sunset                  24.751316 ->22.309953           24.770623 ->21.429122           28.178072 ->24.395938           
sunsetcolor             24.734340 ->27.648456           24.746810 ->24.358378           27.189808 ->26.160585           
swarm                   24.783559 ->24.175439           24.799355 ->22.644081           27.981046 ->25.556937           
trolley                 24.797436 ->18.333933           24.821178 ->17.690985           30.098471 ->20.713219           
turtle                  24.736022 ->24.391726           24.753733 ->22.714512           28.131582 ->25.610314           
veggies                 24.731168 ->21.591649           24.753460 ->20.516245           29.103585 ->23.812337           
woman                   24.982985 ->18.642183           24.990185 ->18.447870           30.441029 ->22.293989           

Average PSNR: 24.878403 ->20.242995           
Average PSNR-HVS: 24.888868 ->19.449856           
Average PSNR-HVS-M: 29.586819 ->22.673620           
