Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->25.183314           24.752885 ->21.695814           28.019241 ->23.679714           
aerial                  24.694600 ->25.342309           24.705980 ->22.099376           27.844180 ->24.061909           
boston                  24.684452 ->25.667398           24.698852 ->21.923804           27.987708 ->23.795339           
bridge                  25.011427 ->26.024821           24.965655 ->22.516075           28.092329 ->24.658293           
butter                  25.567147 ->28.970695           25.216857 ->25.251668           27.676631 ->27.034315           
cactus                  24.659023 ->25.382440           24.679678 ->21.690672           28.252332 ->24.030506           
child                   24.648744 ->24.130522           24.662751 ->20.989602           28.293958 ->23.024048           
couple                  24.839891 ->26.838755           24.826232 ->22.320491           28.640519 ->24.247518           
elk                     24.716747 ->26.261704           24.721614 ->21.966198           28.441795 ->23.884154           
family                  25.346727 ->30.102008           25.029951 ->26.293410           27.087920 ->27.921829           
fisher                  24.708380 ->30.183679           24.719619 ->25.849913           27.316909 ->27.414788           
foxy                    24.841433 ->21.944064           24.819308 ->18.935166           29.526125 ->21.396440           
geckos                  24.683173 ->24.062990           24.692426 ->20.125717           29.042557 ->22.238169           
lady                    24.648239 ->30.468908           24.667623 ->26.162296           27.203527 ->28.072401           
lake                    25.052009 ->22.586532           24.916885 ->19.825307           28.954386 ->22.049783           
log                     24.911347 ->22.298008           24.858786 ->19.492772           29.037535 ->22.190473           
monument                24.953394 ->26.565031           24.868382 ->22.364127           28.160391 ->24.034494           
native                  24.816503 ->28.417276           24.813857 ->24.301651           27.769748 ->26.132553           
redwood                 25.033114 ->25.875501           24.930910 ->22.474953           27.991817 ->24.533746           
roping                  25.604926 ->26.983166           25.205465 ->23.205528           28.074527 ->25.162050           
rushmore                24.709830 ->23.471752           24.731029 ->20.940482           28.243468 ->23.379728           
shroom                  24.942073 ->28.696361           24.865940 ->23.901197           28.122947 ->25.611453           
snow                    25.630263 ->26.539008           25.188521 ->22.838123           28.415715 ->25.147511           
sunset                  24.766513 ->27.329048           24.745671 ->23.958856           27.554381 ->26.141737           
sunsetcolor             25.103546 ->33.492854           24.950085 ->28.994307           26.948004 ->30.130355           
swarm                   24.667630 ->30.594530           24.676266 ->25.953985           27.209710 ->27.635485           
trolley                 24.764424 ->22.800782           24.746654 ->19.672043           28.694791 ->21.818831           
turtle                  24.809788 ->30.675787           24.784972 ->26.023654           27.391830 ->27.707374           
veggies                 25.513827 ->26.217382           25.138314 ->22.590634           28.262391 ->24.665842           
woman                   24.802186 ->27.166747           24.779093 ->23.119972           27.964419 ->24.971152           

Average PSNR: 24.930417 ->26.675779           
Average PSNR-HVS: 24.845342 ->22.915926           
Average PSNR-HVS-M: 28.074060 ->24.892400           
