Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->16.145609           25.061478 ->15.869707           30.232067 ->18.841018           
aerial                  24.948428 ->17.525717           24.943752 ->17.067265           29.533654 ->19.922105           
boston                  24.797214 ->18.761396           24.818571 ->17.678546           29.457386 ->20.372221           
bridge                  24.879643 ->18.103906           24.883403 ->17.756342           29.083745 ->20.780181           
butter                  24.882186 ->20.422907           24.877576 ->19.848411           28.707374 ->23.312191           
cactus                  24.821280 ->16.999050           24.845002 ->16.679576           29.397019 ->19.721133           
child                   24.792258 ->17.180236           24.809341 ->16.414629           30.099317 ->19.049295           
couple                  24.915018 ->17.297352           24.924325 ->16.381765           30.977400 ->19.450129           
elk                     24.966659 ->16.280934           24.981376 ->15.419215           31.288473 ->18.338552           
family                  24.925898 ->21.687959           24.931269 ->22.017131           27.746531 ->25.199751           
fisher                  24.790532 ->21.888329           24.806613 ->20.828638           28.377728 ->23.851754           
foxy                    24.883180 ->14.282778           24.901741 ->13.822383           31.237774 ->16.371929           
geckos                  24.917349 ->14.456295           24.931486 ->13.700122           31.891460 ->16.308808           
lady                    24.800469 ->23.283271           24.815407 ->22.712284           27.774881 ->25.823305           
lake                    24.893488 ->14.340869           24.909181 ->13.989005           30.762298 ->16.474389           
log                     24.833803 ->15.181293           24.854369 ->15.134253           30.075435 ->17.792229           
monument                25.087339 ->16.713630           25.067933 ->16.080484           30.614394 ->19.025114           
native                  25.114155 ->17.464799           25.093801 ->16.887764           30.293730 ->20.186687           
redwood                 24.889198 ->17.537365           24.900047 ->17.226737           29.431842 ->20.187733           
roping                  24.773641 ->18.805153           24.789357 ->18.177760           29.100786 ->21.227254           
rushmore                25.089369 ->14.126855           25.095722 ->14.257013           30.491433 ->17.020117           
shroom                  24.984799 ->17.928280           24.991088 ->17.143905           30.604250 ->20.388870           
snow                    24.775606 ->18.495014           24.797847 ->18.166018           29.301987 ->21.217243           
sunset                  24.751316 ->20.377555           24.770623 ->20.303951           28.178072 ->23.417979           
sunsetcolor             24.734340 ->27.072907           24.746810 ->25.514398           27.189808 ->28.228337           
swarm                   24.783559 ->22.043073           24.799355 ->21.514115           27.981046 ->24.891444           
trolley                 24.797436 ->16.613251           24.821178 ->16.001703           30.098471 ->18.584647           
turtle                  24.736022 ->22.489146           24.753733 ->21.648326           28.131582 ->24.804453           
veggies                 24.731168 ->19.681950           24.753460 ->18.677630           29.103585 ->21.496935           
woman                   24.982985 ->16.520998           24.990185 ->16.093176           30.441029 ->19.246170           

Average PSNR: 24.878403 ->18.323596           
Average PSNR-HVS: 24.888868 ->17.767075           
Average PSNR-HVS-M: 29.586819 ->20.717732           
