Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->22.830907           24.752885 ->18.554622           28.019241 ->19.860318           
aerial                  24.694600 ->23.436296           24.705980 ->19.378830           27.844180 ->20.751917           
boston                  24.684452 ->23.427686           24.698852 ->18.986597           27.987708 ->20.235459           
bridge                  25.011427 ->23.642184           24.965655 ->19.301208           28.092329 ->20.700874           
butter                  25.567147 ->26.655238           25.216857 ->22.216898           27.676631 ->23.418959           
cactus                  24.659023 ->22.769193           24.679678 ->18.263270           28.252332 ->19.754796           
child                   24.648744 ->21.932064           24.662751 ->17.946413           28.293958 ->19.292144           
couple                  24.839891 ->23.830712           24.826232 ->18.678587           28.640519 ->19.848252           
elk                     24.716747 ->23.448290           24.721614 ->18.459648           28.441795 ->19.642458           
family                  25.346727 ->27.935863           25.029951 ->23.417299           27.087920 ->24.594699           
fisher                  24.708380 ->27.592767           24.719619 ->22.675078           27.316909 ->23.645774           
foxy                    24.841433 ->19.587736           24.819308 ->15.658477           29.526125 ->17.252817           
geckos                  24.683173 ->21.278182           24.692426 ->16.677464           29.042557 ->18.026425           
lady                    24.648239 ->27.665705           24.667623 ->22.742198           27.203527 ->23.946583           
lake                    25.052009 ->20.277052           24.916885 ->16.385145           28.954386 ->17.762447           
log                     24.911347 ->19.898266           24.858786 ->16.135050           29.037535 ->17.868932           
monument                24.953394 ->24.152673           24.868382 ->19.543083           28.160391 ->20.660181           
native                  24.816503 ->25.764474           24.813857 ->20.967074           27.769748 ->22.100736           
redwood                 25.033114 ->23.648060           24.930910 ->19.448048           27.991817 ->20.812391           
roping                  25.604926 ->24.652749           25.205465 ->20.222226           28.074527 ->21.567728           
rushmore                24.709830 ->21.290274           24.731029 ->17.718353           28.243468 ->19.313223           
shroom                  24.942073 ->25.706725           24.865940 ->20.469927           28.122947 ->21.517417           
snow                    25.630263 ->23.834814           25.188521 ->19.256609           28.415715 ->20.696568           
sunset                  24.766513 ->24.838667           24.745671 ->20.608859           27.554381 ->22.019390           
sunsetcolor             25.103546 ->31.835082           24.950085 ->27.141634           26.948004 ->28.016714           
swarm                   24.667630 ->27.872703           24.676266 ->22.720575           27.209710 ->23.797187           
trolley                 24.764424 ->20.694111           24.746654 ->16.720646           28.694791 ->18.182679           
turtle                  24.809788 ->27.882060           24.784972 ->22.755513           27.391830 ->23.807790           
veggies                 25.513827 ->23.841673           25.138314 ->19.403625           28.262391 ->20.777489           
woman                   24.802186 ->24.373706           24.779093 ->19.592177           27.964419 ->20.730054           

Average PSNR: 24.930417 ->24.219864           
Average PSNR-HVS: 24.845342 ->19.734838           
Average PSNR-HVS-M: 28.074060 ->21.020080           
