Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->14.479822           25.061478 ->12.619662           30.232067 ->14.534940           
aerial                  24.948428 ->15.958827           24.943752 ->14.073431           29.533654 ->15.997867           
boston                  24.797214 ->16.900226           24.818571 ->14.473657           29.457386 ->16.248997           
bridge                  24.879643 ->16.574434           24.883403 ->14.711727           29.083745 ->16.731733           
butter                  24.882186 ->18.631802           24.877576 ->16.197061           28.707374 ->18.338379           
cactus                  24.821280 ->15.399871           24.845002 ->13.492232           29.397019 ->15.492799           
child                   24.792258 ->15.359289           24.809341 ->13.187425           30.099317 ->14.911581           
couple                  24.915018 ->15.259417           24.924325 ->12.603897           30.977400 ->14.470079           
elk                     24.966659 ->14.345827           24.981376 ->11.865375           31.288473 ->13.693598           
family                  24.925898 ->20.514613           24.931269 ->19.256580           27.746531 ->21.477937           
fisher                  24.790532 ->20.024439           24.806613 ->17.346604           28.377728 ->19.311109           
foxy                    24.883180 ->12.619203           24.901741 ->10.620719           31.237774 ->12.254391           
geckos                  24.917349 ->12.503812           24.931486 ->10.242715           31.891460 ->11.885189           
lady                    24.800469 ->21.854858           24.815407 ->19.581250           27.774881 ->21.657808           
lake                    24.893488 ->12.802480           24.909181 ->10.991081           30.762298 ->12.599116           
log                     24.833803 ->13.700662           24.854369 ->12.225783           30.075435 ->13.994310           
monument                25.087339 ->15.008087           25.067933 ->12.839114           30.614394 ->14.754481           
native                  25.114155 ->15.565592           25.093801 ->13.239491           30.293730 ->15.280201           
redwood                 24.889198 ->15.896481           24.900047 ->13.975813           29.431842 ->15.890488           
roping                  24.773641 ->17.042070           24.789357 ->14.838035           29.100786 ->16.817836           
rushmore                25.089369 ->12.638359           25.095722 ->11.290429           30.491433 ->13.122918           
shroom                  24.984799 ->15.936415           24.991088 ->13.330879           30.604250 ->15.305757           
snow                    24.775606 ->16.787264           24.797847 ->14.597635           29.301987 ->16.454447           
sunset                  24.751316 ->18.963987           24.770623 ->17.324449           28.178072 ->19.438387           
sunsetcolor             24.734340 ->25.242798           24.746810 ->22.352651           27.189808 ->24.253694           
swarm                   24.783559 ->20.420816           24.799355 ->18.205516           27.981046 ->20.407821           
trolley                 24.797436 ->15.028238           24.821178 ->13.046089           30.098471 ->14.784902           
turtle                  24.736022 ->20.728474           24.753733 ->18.101417           28.131582 ->20.071129           
veggies                 24.731168 ->17.913252           24.753460 ->15.360355           29.103585 ->17.172459           
woman                   24.982985 ->14.691985           24.990185 ->12.485037           30.441029 ->14.417461           

Average PSNR: 24.878403 ->16.626447           
Average PSNR-HVS: 24.888868 ->14.482537           
Average PSNR-HVS-M: 29.586819 ->16.392394           
