Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->23.260538           24.752885 ->19.081834           28.019241 ->20.574606           
aerial                  24.694600 ->23.710117           24.705980 ->19.802892           27.844180 ->21.358234           
boston                  24.684452 ->23.887178           24.698852 ->19.518992           27.987708 ->20.945676           
bridge                  25.011427 ->24.174055           24.965655 ->19.949412           28.092329 ->21.582513           
butter                  25.567147 ->27.351203           25.216857 ->23.029686           27.676631 ->24.521560           
cactus                  24.659023 ->23.304440           24.679678 ->18.895279           28.252332 ->20.610294           
child                   24.648744 ->22.400457           24.662751 ->18.581902           28.293958 ->20.132432           
couple                  24.839891 ->24.704189           24.826232 ->19.557807           28.640519 ->20.975837           
elk                     24.716747 ->24.215450           24.721614 ->19.275669           28.441795 ->20.687598           
family                  25.346727 ->28.702203           25.029951 ->24.302495           27.087920 ->25.747402           
fisher                  24.708380 ->28.397703           24.719619 ->23.457474           27.316909 ->24.648088           
foxy                    24.841433 ->20.093928           24.819308 ->16.354952           29.526125 ->18.208466           
geckos                  24.683173 ->21.885833           24.692426 ->17.379036           29.042557 ->18.934519           
lady                    24.648239 ->28.430858           24.667623 ->23.485985           27.203527 ->24.927433           
lake                    25.052009 ->20.736384           24.916885 ->17.002497           28.954386 ->18.603290           
log                     24.911347 ->20.310205           24.858786 ->16.714774           29.037535 ->18.691080           
monument                24.953394 ->24.844977           24.868382 ->20.191515           28.160391 ->21.501154           
native                  24.816503 ->26.597663           24.813857 ->21.839938           27.769748 ->23.226458           
redwood                 25.033114 ->24.179514           24.930910 ->20.117704           27.991817 ->21.716338           
roping                  25.604926 ->25.162153           25.205465 ->20.811642           28.074527 ->22.358829           
rushmore                24.709830 ->21.689345           24.731029 ->18.296007           28.243468 ->20.124226           
shroom                  24.942073 ->26.910152           24.865940 ->21.616895           28.122947 ->22.953569           
snow                    25.630263 ->24.568983           25.188521 ->20.097559           28.415715 ->21.866971           
sunset                  24.766513 ->25.334287           24.745671 ->21.224479           27.554381 ->22.860237           
sunsetcolor             25.103546 ->32.643312           24.950085 ->27.892040           26.948004 ->28.959397           
swarm                   24.667630 ->28.698336           24.676266 ->23.493247           27.209710 ->24.794291           
trolley                 24.764424 ->21.059812           24.746654 ->17.232255           28.694791 ->18.888525           
turtle                  24.809788 ->29.025039           24.784972 ->23.863802           27.391830 ->25.214178           
veggies                 25.513827 ->24.355751           25.138314 ->20.019567           28.262391 ->21.616415           
woman                   24.802186 ->25.142595           24.779093 ->20.433083           27.964419 ->21.800434           

Average PSNR: 24.930417 ->24.859222           
Average PSNR-HVS: 24.845342 ->20.450681           
Average PSNR-HVS-M: 28.074060 ->21.967668           
