Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->14.463305           25.061478 ->12.838347           30.232067 ->14.933003           
aerial                  24.948428 ->16.048080           24.943752 ->14.414211           29.533654 ->16.554130           
boston                  24.797214 ->17.062629           24.818571 ->14.873424           29.457386 ->16.859560           
bridge                  24.879643 ->16.537079           24.883403 ->14.926934           29.083745 ->17.151410           
butter                  24.882186 ->18.648455           24.877576 ->16.478316           28.707374 ->18.892870           
cactus                  24.821280 ->15.535608           24.845002 ->13.874415           29.397019 ->16.084880           
child                   24.792258 ->15.540356           24.809341 ->13.624529           30.099317 ->15.548971           
couple                  24.915018 ->15.082636           24.924325 ->12.607533           30.977400 ->14.614439           
elk                     24.966659 ->14.252466           24.981376 ->11.962929           31.288473 ->13.941191           
family                  24.925898 ->20.436699           24.931269 ->19.479630           27.746531 ->21.947871           
fisher                  24.790532 ->20.037968           24.806613 ->17.601021           28.377728 ->19.788707           
foxy                    24.883180 ->12.813158           24.901741 ->11.083282           31.237774 ->12.912890           
geckos                  24.917349 ->12.724739           24.931486 ->10.714302           31.891460 ->12.550121           
lady                    24.800469 ->21.894518           24.815407 ->19.938144           27.774881 ->22.323473           
lake                    24.893488 ->12.920343           24.909181 ->11.354159           30.762298 ->13.141821           
log                     24.833803 ->13.977080           24.854369 ->12.789776           30.075435 ->14.793213           
monument                25.087339 ->14.856402           25.067933 ->12.898354           30.614394 ->14.966972           
native                  25.114155 ->15.465810           25.093801 ->13.380686           30.293730 ->15.622107           
redwood                 24.889198 ->15.787120           24.900047 ->14.118224           29.431842 ->16.211642           
roping                  24.773641 ->17.039832           24.789357 ->15.082005           29.100786 ->17.259369           
rushmore                25.089369 ->12.816683           25.095722 ->11.753941           30.491433 ->13.808298           
shroom                  24.984799 ->15.794605           24.991088 ->13.433553           30.604250 ->15.601256           
snow                    24.775606 ->16.811557           24.797847 ->14.895407           29.301987 ->16.974239           
sunset                  24.751316 ->18.962937           24.770623 ->17.572687           28.178072 ->19.903417           
sunsetcolor             24.734340 ->25.256326           24.746810 ->22.579355           27.189808 ->24.753496           
swarm                   24.783559 ->20.487280           24.799355 ->18.565438           27.981046 ->21.051149           
trolley                 24.797436 ->15.059817           24.821178 ->13.315177           30.098471 ->15.227096           
turtle                  24.736022 ->20.800383           24.753733 ->18.490369           28.131582 ->20.762591           
veggies                 24.731168 ->18.022825           24.753460 ->15.717540           29.103585 ->17.744471           
woman                   24.982985 ->14.611200           24.990185 ->12.631595           30.441029 ->14.737057           

Average PSNR: 24.878403 ->16.658263           
Average PSNR-HVS: 24.888868 ->14.766509           
Average PSNR-HVS-M: 29.586819 ->16.888724           
