Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->23.201842           24.752885 ->19.047206           28.019241 ->20.487941           
aerial                  24.694600 ->23.773913           24.705980 ->19.932738           27.844180 ->21.412949           
boston                  24.684452 ->23.737003           24.698852 ->19.362147           27.987708 ->20.708231           
bridge                  25.011427 ->23.998503           24.965655 ->19.788975           28.092329 ->21.346984           
butter                  25.567147 ->27.278220           25.216857 ->22.978047           27.676631 ->24.397287           
cactus                  24.659023 ->22.967509           24.679678 ->18.559475           28.252332 ->20.147848           
child                   24.648744 ->22.199213           24.662751 ->18.340018           28.293958 ->19.808676           
couple                  24.839891 ->24.314718           24.826232 ->19.256415           28.640519 ->20.572208           
elk                     24.716747 ->23.855460           24.721614 ->18.938630           28.441795 ->20.250427           
family                  25.346727 ->28.501096           25.029951 ->24.102193           27.087920 ->25.460367           
fisher                  24.708380 ->28.399345           24.719619 ->23.592062           27.316909 ->24.759997           
foxy                    24.841433 ->19.718527           24.819308 ->15.855727           29.526125 ->17.543962           
geckos                  24.683173 ->21.438380           24.692426 ->16.899463           29.042557 ->18.331996           
lady                    24.648239 ->28.111692           24.667623 ->23.215794           27.203527 ->24.585749           
lake                    25.052009 ->20.631473           24.916885 ->16.906341           28.954386 ->18.441374           
log                     24.911347 ->20.079546           24.858786 ->16.403513           29.037535 ->18.260735           
monument                24.953394 ->24.779599           24.868382 ->20.146434           28.160391 ->21.392681           
native                  24.816503 ->26.407040           24.813857 ->21.709033           27.769748 ->23.036948           
redwood                 25.033114 ->23.942934           24.930910 ->19.881353           27.991817 ->21.406426           
roping                  25.604926 ->24.968597           25.205465 ->20.649560           28.074527 ->22.139989           
rushmore                24.709830 ->21.527387           24.731029 ->18.093259           28.243468 ->19.832057           
shroom                  24.942073 ->26.303468           24.865940 ->21.159629           28.122947 ->22.391158           
snow                    25.630263 ->24.281071           25.188521 ->19.861393           28.415715 ->21.506968           
sunset                  24.766513 ->25.199354           24.745671 ->21.061377           27.554381 ->22.623435           
sunsetcolor             25.103546 ->32.613516           24.950085 ->27.949702           26.948004 ->28.990207           
swarm                   24.667630 ->28.470074           24.676266 ->23.321836           27.209710 ->24.547130           
trolley                 24.764424 ->20.951105           24.746654 ->17.072069           28.694791 ->18.633018           
turtle                  24.809788 ->28.675785           24.784972 ->23.579950           27.391830 ->24.840082           
veggies                 25.513827 ->24.203364           25.138314 ->19.850291           28.262391 ->21.362817           
woman                   24.802186 ->24.883116           24.779093 ->20.216952           27.964419 ->21.523270           

Average PSNR: 24.930417 ->24.647095           
Average PSNR-HVS: 24.845342 ->20.257719           
Average PSNR-HVS-M: 28.074060 ->21.691431           
