Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->14.793249           25.061478 ->13.205886           30.232067 ->15.333010           
aerial                  24.948428 ->16.153357           24.943752 ->14.528253           29.533654 ->16.637850           
boston                  24.797214 ->17.176003           24.818571 ->14.989572           29.457386 ->16.946331           
bridge                  24.879643 ->16.841672           24.883403 ->15.231446           29.083745 ->17.471052           
butter                  24.882186 ->18.892583           24.877576 ->16.713085           28.707374 ->19.104689           
cactus                  24.821280 ->15.557063           24.845002 ->13.807602           29.397019 ->15.936481           
child                   24.792258 ->15.525762           24.809341 ->13.583727           30.099317 ->15.460038           
couple                  24.915018 ->15.517481           24.924325 ->13.055943           30.977400 ->15.085239           
elk                     24.966659 ->14.545198           24.981376 ->12.262264           31.288473 ->14.242092           
family                  24.925898 ->20.790251           24.931269 ->19.894104           27.746531 ->22.438150           
fisher                  24.790532 ->20.350346           24.806613 ->17.964980           28.377728 ->20.172912           
foxy                    24.883180 ->12.832771           24.901741 ->11.100497           31.237774 ->12.898553           
geckos                  24.917349 ->12.726194           24.931486 ->10.679062           31.891460 ->12.467962           
lady                    24.800469 ->22.075490           24.815407 ->20.035968           27.774881 ->22.365447           
lake                    24.893488 ->13.082838           24.909181 ->11.615971           30.762298 ->13.441372           
log                     24.833803 ->13.865476           24.854369 ->12.663527           30.075435 ->14.608787           
monument                25.087339 ->15.295670           25.067933 ->13.369921           30.614394 ->15.475692           
native                  25.114155 ->15.831188           25.093801 ->13.732818           30.293730 ->15.981901           
redwood                 24.889198 ->16.171444           24.900047 ->14.526965           29.431842 ->16.661902           
roping                  24.773641 ->17.244549           24.789357 ->15.264048           29.100786 ->17.420010           
rushmore                25.089369 ->12.877084           25.095722 ->11.833100           30.491433 ->13.875077           
shroom                  24.984799 ->16.188886           24.991088 ->13.834558           30.604250 ->16.007774           
snow                    24.775606 ->17.012579           24.797847 ->15.128896           29.301987 ->17.206011           
sunset                  24.751316 ->19.190517           24.770623 ->17.822542           28.178072 ->20.161552           
sunsetcolor             24.734340 ->25.652512           24.746810 ->23.109332           27.189808 ->25.349075           
swarm                   24.783559 ->20.708521           24.799355 ->18.722154           27.981046 ->21.181116           
trolley                 24.797436 ->15.244546           24.821178 ->13.546345           30.098471 ->15.467320           
turtle                  24.736022 ->21.011749           24.753733 ->18.673093           28.131582 ->20.908974           
veggies                 24.731168 ->18.048637           24.753460 ->15.689687           29.103585 ->17.643930           
woman                   24.982985 ->14.963010           24.990185 ->12.993868           30.441029 ->15.122348           

Average PSNR: 24.878403 ->16.872221           
Average PSNR-HVS: 24.888868 ->14.985974           
Average PSNR-HVS-M: 29.586819 ->17.102421           
