Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->22.883306           24.752885 ->18.761663           28.019241 ->20.180324           
aerial                  24.694600 ->23.602208           24.705980 ->19.808817           27.844180 ->21.318307           
boston                  24.684452 ->23.472000           24.698852 ->19.236414           27.987708 ->20.601695           
bridge                  25.011427 ->23.618844           24.965655 ->19.510138           28.092329 ->21.060426           
butter                  25.567147 ->26.601826           25.216857 ->22.350680           27.676631 ->23.733778           
cactus                  24.659023 ->22.166531           24.679678 ->17.784892           28.252332 ->19.240693           
child                   24.648744 ->21.726927           24.662751 ->17.850050           28.293958 ->19.256282           
couple                  24.839891 ->23.191630           24.826232 ->18.345792           28.640519 ->19.588896           
elk                     24.716747 ->22.917850           24.721614 ->18.113559           28.441795 ->19.347232           
family                  25.346727 ->28.157681           25.029951 ->24.029740           27.087920 ->25.432953           
fisher                  24.708380 ->27.733799           24.719619 ->23.136879           27.316909 ->24.326335           
foxy                    24.841433 ->19.026487           24.819308 ->15.212378           29.526125 ->16.814810           
geckos                  24.683173 ->20.638107           24.692426 ->16.098940           29.042557 ->17.425733           
lady                    24.648239 ->27.166900           24.667623 ->22.519649           27.203527 ->23.870861           
lake                    25.052009 ->20.161095           24.916885 ->16.424818           28.954386 ->17.884812           
log                     24.911347 ->19.554790           24.858786 ->15.923067           29.037535 ->17.703609           
monument                24.953394 ->24.167552           24.868382 ->19.795832           28.160391 ->21.053600           
native                  24.816503 ->25.553861           24.813857 ->20.933218           27.769748 ->22.193455           
redwood                 25.033114 ->23.529494           24.930910 ->19.523343           27.991817 ->21.011556           
roping                  25.604926 ->24.360112           25.205465 ->20.144031           28.074527 ->21.578208           
rushmore                24.709830 ->21.226266           24.731029 ->17.813913           28.243468 ->19.521062           
shroom                  24.942073 ->24.826647           24.865940 ->19.844635           28.122947 ->20.997169           
snow                    25.630263 ->23.513374           25.188521 ->19.403446           28.415715 ->21.034449           
sunset                  24.766513 ->24.708864           24.745671 ->20.742862           27.554381 ->22.322713           
sunsetcolor             25.103546 ->32.272695           24.950085 ->27.763452           26.948004 ->28.890839           
swarm                   24.667630 ->27.695465           24.676266 ->22.822380           27.209710 ->24.076648           
trolley                 24.764424 ->20.799360           24.746654 ->17.085646           28.694791 ->18.691308           
turtle                  24.809788 ->27.217803           24.784972 ->22.355003           27.391830 ->23.569854           
veggies                 25.513827 ->23.632157           25.138314 ->19.479307           28.262391 ->20.985801           
woman                   24.802186 ->24.306469           24.779093 ->19.722032           27.964419 ->20.977988           

Average PSNR: 24.930417 ->24.014337           
Average PSNR-HVS: 24.845342 ->19.751219           
Average PSNR-HVS-M: 28.074060 ->21.156380           
