Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->15.641220           25.061478 ->14.011922           30.232067 ->16.280369           
aerial                  24.948428 ->16.743805           24.943752 ->15.037502           29.533654 ->17.226861           
boston                  24.797214 ->17.425960           24.818571 ->15.164036           29.457386 ->17.149045           
bridge                  24.879643 ->17.550568           24.883403 ->15.786218           29.083745 ->18.093816           
butter                  24.882186 ->19.615427           24.877576 ->17.171403           28.707374 ->19.548577           
cactus                  24.821280 ->15.917462           24.845002 ->14.085435           29.397019 ->16.262242           
child                   24.792258 ->15.500042           24.809341 ->13.465190           30.099317 ->15.307655           
couple                  24.915018 ->16.108980           24.924325 ->13.461405           30.977400 ->15.515906           
elk                     24.966659 ->15.073125           24.981376 ->12.691261           31.288473 ->14.725764           
family                  24.925898 ->21.481180           24.931269 ->20.324823           27.746531 ->22.870419           
fisher                  24.790532 ->20.894235           24.806613 ->18.232161           28.377728 ->20.396964           
foxy                    24.883180 ->13.060452           24.901741 ->11.333405           31.237774 ->13.165864           
geckos                  24.917349 ->12.895229           24.931486 ->10.796840           31.891460 ->12.590662           
lady                    24.800469 ->22.469863           24.815407 ->20.093293           27.774881 ->22.337659           
lake                    24.893488 ->13.197406           24.909181 ->11.715457           30.762298 ->13.552565           
log                     24.833803 ->14.064280           24.854369 ->12.840741           30.075435 ->14.807992           
monument                25.087339 ->16.240433           25.067933 ->14.209064           30.614394 ->16.458561           
native                  25.114155 ->16.731089           25.093801 ->14.459126           30.293730 ->16.808736           
redwood                 24.889198 ->16.676594           24.900047 ->14.927830           29.431842 ->17.105057           
roping                  24.773641 ->17.634370           24.789357 ->15.449629           29.100786 ->17.592166           
rushmore                25.089369 ->13.288897           25.095722 ->12.269119           30.491433 ->14.394080           
shroom                  24.984799 ->17.020972           24.991088 ->14.406798           30.604250 ->16.610356           
snow                    24.775606 ->17.510615           24.797847 ->15.480174           29.301987 ->17.587242           
sunset                  24.751316 ->19.488820           24.770623 ->17.921158           28.178072 ->20.235378           
sunsetcolor             24.734340 ->26.310510           24.746810 ->23.447192           27.189808 ->25.632495           
swarm                   24.783559 ->21.217122           24.799355 ->18.947933           27.981046 ->21.397760           
trolley                 24.797436 ->15.503541           24.821178 ->13.777247           30.098471 ->15.732168           
turtle                  24.736022 ->21.310926           24.753733 ->18.607969           28.131582 ->20.741128           
veggies                 24.731168 ->18.108079           24.753460 ->15.553236           29.103585 ->17.443697           
woman                   24.982985 ->15.740020           24.990185 ->13.662844           30.441029 ->15.893822           

Average PSNR: 24.878403 ->17.347374           
Average PSNR-HVS: 24.888868 ->15.311014           
Average PSNR-HVS-M: 29.586819 ->17.448833           
