Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->22.676178           24.752885 ->18.118900           28.019241 ->19.437833           
aerial                  24.694600 ->23.279934           24.705980 ->18.947156           27.844180 ->20.309866           
boston                  24.684452 ->23.216308           24.698852 ->18.484242           27.987708 ->19.737021           
bridge                  25.011427 ->23.373165           24.965655 ->18.709931           28.092329 ->20.129323           
butter                  25.567147 ->26.045315           25.216857 ->20.964677           27.676631 ->22.064833           
cactus                  24.659023 ->21.707069           24.679678 ->16.693616           28.252332 ->17.983229           
child                   24.648744 ->21.489234           24.662751 ->17.143357           28.293958 ->18.420264           
couple                  24.839891 ->22.642937           24.826232 ->16.955341           28.640519 ->17.986079           
elk                     24.716747 ->22.432999           24.721614 ->16.952010           28.441795 ->18.014874           
family                  25.346727 ->27.840676           25.029951 ->22.991763           27.087920 ->24.263815           
fisher                  24.708380 ->27.263001           24.719619 ->21.863744           27.316909 ->22.823203           
foxy                    24.841433 ->18.626143           24.819308 ->14.256726           29.526125 ->15.678741           
geckos                  24.683173 ->20.333100           24.692426 ->15.333946           29.042557 ->16.536150           
lady                    24.648239 ->26.777810           24.667623 ->21.394753           27.203527 ->22.549153           
lake                    25.052009 ->19.923575           24.916885 ->15.531785           28.954386 ->16.830531           
log                     24.911347 ->19.299461           24.858786 ->15.169566           29.037535 ->16.815373           
monument                24.953394 ->23.769258           24.868382 ->18.634757           28.160391 ->19.702246           
native                  24.816503 ->25.039949           24.813857 ->19.644731           27.769748 ->20.669925           
redwood                 25.033114 ->23.266747           24.930910 ->18.730071           27.991817 ->20.071534           
roping                  25.604926 ->23.904889           25.205465 ->19.100481           28.074527 ->20.369690           
rushmore                24.709830 ->20.929697           24.731029 ->16.963724           28.243468 ->18.502098           
shroom                  24.942073 ->24.166927           24.865940 ->18.382771           28.122947 ->19.303389           
snow                    25.630263 ->22.959887           25.188521 ->17.782858           28.415715 ->19.106124           
sunset                  24.766513 ->24.419752           24.745671 ->19.908474           27.554381 ->21.328763           
sunsetcolor             25.103546 ->31.900839           24.950085 ->26.771908           26.948004 ->27.705749           
swarm                   24.667630 ->27.135364           24.676266 ->21.528565           27.209710 ->22.568150           
trolley                 24.764424 ->20.563794           24.746654 ->16.291444           28.694791 ->17.753673           
turtle                  24.809788 ->26.519710           24.784972 ->20.746419           27.391830 ->21.668491           
veggies                 25.513827 ->23.291815           25.138314 ->18.438920           28.262391 ->19.775949           
woman                   24.802186 ->23.889528           24.779093 ->18.657086           27.964419 ->19.749756           

Average PSNR: 24.930417 ->23.622835           
Average PSNR-HVS: 24.845342 ->18.703124           
Average PSNR-HVS-M: 28.074060 ->19.928527           
