Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->15.924154           25.061478 ->13.898167           30.232067 ->16.130562           
aerial                  24.948428 ->16.920771           24.943752 ->14.802141           29.533654 ->16.913261           
boston                  24.797214 ->17.480122           24.818571 ->14.787980           29.457386 ->16.674237           
bridge                  24.879643 ->17.717405           24.883403 ->15.560822           29.083745 ->17.806567           
butter                  24.882186 ->19.886458           24.877576 ->16.701564           28.707374 ->18.884911           
cactus                  24.821280 ->16.040998           24.845002 ->13.793658           29.397019 ->15.890918           
child                   24.792258 ->15.380370           24.809341 ->12.980025           30.099317 ->14.711661           
couple                  24.915018 ->16.185055           24.924325 ->12.954635           30.977400 ->14.883959           
elk                     24.966659 ->15.302589           24.981376 ->12.406531           31.288473 ->14.365705           
family                  24.925898 ->21.614805           24.931269 ->19.999615           27.746531 ->22.394828           
fisher                  24.790532 ->21.021833           24.806613 ->17.692824           28.377728 ->19.687362           
foxy                    24.883180 ->13.099195           24.901741 ->11.045103           31.237774 ->12.816811           
geckos                  24.917349 ->12.902783           24.931486 ->10.482026           31.891460 ->12.209774           
lady                    24.800469 ->22.370185           24.815407 ->19.376822           27.774881 ->21.418801           
lake                    24.893488 ->13.216324           24.909181 ->11.378431           30.762298 ->13.132396           
log                     24.833803 ->14.038327           24.854369 ->12.479295           30.075435 ->14.355243           
monument                25.087339 ->16.540568           25.067933 ->13.956824           30.614394 ->16.098617           
native                  25.114155 ->17.082776           25.093801 ->14.214093           30.293730 ->16.467249           
redwood                 24.889198 ->16.877008           24.900047 ->14.698956           29.431842 ->16.808688           
roping                  24.773641 ->17.707487           24.789357 ->15.080682           29.100786 ->17.130596           
rushmore                25.089369 ->13.411527           25.095722 ->12.096453           30.491433 ->14.176243           
shroom                  24.984799 ->17.265368           24.991088 ->13.991660           30.604250 ->16.076701           
snow                    24.775606 ->17.560478           24.797847 ->14.944508           29.301987 ->16.892461           
sunset                  24.751316 ->19.561258           24.770623 ->17.476041           28.178072 ->19.613401           
sunsetcolor             24.734340 ->26.371655           24.746810 ->22.756192           27.189808 ->24.701385           
swarm                   24.783559 ->21.246312           24.799355 ->18.307827           27.981046 ->20.517840           
trolley                 24.797436 ->15.523553           24.821178 ->13.411534           30.098471 ->15.276299           
turtle                  24.736022 ->21.260538           24.753733 ->17.789027           28.131582 ->19.627930           
veggies                 24.731168 ->18.030496           24.753460 ->15.014421           29.103585 ->16.782377           
woman                   24.982985 ->15.993076           24.990185 ->13.380025           30.441029 ->15.529295           

Average PSNR: 24.878403 ->17.451116           
Average PSNR-HVS: 24.888868 ->14.915263           
Average PSNR-HVS-M: 29.586819 ->16.932536           
