Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->21.871667           24.752885 ->17.309583           28.019241 ->18.466623           
aerial                  24.694600 ->22.492720           24.705980 ->18.199592           27.844180 ->19.396613           
boston                  24.684452 ->22.349360           24.698852 ->17.605068           27.987708 ->18.693711           
bridge                  25.011427 ->22.223283           24.965655 ->17.611916           28.092329 ->18.833550           
butter                  25.567147 ->25.490104           25.216857 ->20.757599           27.676631 ->21.903362           
cactus                  24.659023 ->20.723905           24.679678 ->15.768487           28.252332 ->16.894320           
child                   24.648744 ->20.894199           24.662751 ->16.574266           28.293958 ->17.734135           
couple                  24.839891 ->21.864062           24.826232 ->16.514657           28.640519 ->17.528271           
elk                     24.716747 ->21.780230           24.721614 ->16.555072           28.441795 ->17.563453           
family                  25.346727 ->26.830466           25.029951 ->22.089427           27.087920 ->23.229183           
fisher                  24.708380 ->26.825327           24.719619 ->21.707873           27.316909 ->22.692894           
foxy                    24.841433 ->17.730069           24.819308 ->13.313635           29.526125 ->14.540711           
geckos                  24.683173 ->19.645439           24.692426 ->14.719069           29.042557 ->15.806019           
lady                    24.648239 ->25.779445           24.667623 ->20.607730           27.203527 ->21.677456           
lake                    25.052009 ->19.226027           24.916885 ->14.880496           28.954386 ->16.042574           
log                     24.911347 ->18.038895           24.858786 ->13.759538           29.037535 ->15.091336           
monument                24.953394 ->23.070829           24.868382 ->18.121846           28.160391 ->19.122070           
native                  24.816503 ->24.736591           24.813857 ->19.697148           27.769748 ->20.759228           
redwood                 25.033114 ->22.383002           24.930910 ->17.862950           27.991817 ->19.049863           
roping                  25.604926 ->23.030809           25.205465 ->18.324340           28.074527 ->19.478011           
rushmore                24.709830 ->20.039232           24.731029 ->15.997057           28.243468 ->17.318004           
shroom                  24.942073 ->23.698063           24.865940 ->18.361104           28.122947 ->19.337524           
snow                    25.630263 ->21.919418           25.188521 ->17.066754           28.415715 ->18.327905           
sunset                  24.766513 ->23.485341           24.745671 ->18.924722           27.554381 ->20.151861           
sunsetcolor             25.103546 ->31.232768           24.950085 ->26.298707           26.948004 ->27.230519           
swarm                   24.667630 ->26.563632           24.676266 ->21.274669           27.209710 ->22.322813           
trolley                 24.764424 ->19.384725           24.746654 ->14.976567           28.694791 ->16.178298           
turtle                  24.809788 ->26.212801           24.784972 ->20.848384           27.391830 ->21.842953           
veggies                 25.513827 ->22.289485           25.138314 ->17.538563           28.262391 ->18.729898           
woman                   24.802186 ->23.215916           24.779093 ->18.205125           27.964419 ->19.236005           

Average PSNR: 24.930417 ->22.834260           
Average PSNR-HVS: 24.845342 ->18.049065           
Average PSNR-HVS-M: 28.074060 ->19.172639           
