Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->13.766773           25.061478 ->11.247307           30.232067 ->12.869978           
aerial                  24.948428 ->15.007799           24.943752 ->12.530582           29.533654 ->14.149118           
boston                  24.797214 ->15.856169           24.818571 ->12.916737           29.457386 ->14.424660           
bridge                  24.879643 ->15.627581           24.883403 ->13.039642           29.083745 ->14.718475           
butter                  24.882186 ->17.269972           24.877576 ->13.988154           28.707374 ->15.697898           
cactus                  24.821280 ->14.354725           24.845002 ->11.517028           29.397019 ->13.061373           
child                   24.792258 ->14.500726           24.809341 ->11.811207           30.099317 ->13.281372           
couple                  24.915018 ->13.885965           24.924325 ->10.310779           30.977400 ->11.716856           
elk                     24.966659 ->13.166769           24.981376 ->9.893358            31.288473 ->11.327713           
family                  24.925898 ->19.806706           24.931269 ->18.015917           27.746531 ->20.039665           
fisher                  24.790532 ->18.857876           24.806613 ->15.471305           28.377728 ->17.104470           
foxy                    24.883180 ->12.195870           24.901741 ->9.751892            31.237774 ->11.214241           
geckos                  24.917349 ->11.928037           24.931486 ->9.205264            31.891460 ->10.650853           
lady                    24.800469 ->20.647354           24.815407 ->17.480804           27.774881 ->19.169431           
lake                    24.893488 ->12.602845           24.909181 ->10.517984           30.762298 ->12.051991           
log                     24.833803 ->13.340837           24.854369 ->11.466912           30.075435 ->13.089533           
monument                25.087339 ->13.942023           25.067933 ->11.081724           30.614394 ->12.652844           
native                  25.114155 ->14.288778           25.093801 ->11.088206           30.293730 ->12.676467           
redwood                 24.889198 ->15.006519           24.900047 ->12.420333           29.431842 ->14.037522           
roping                  24.773641 ->15.903007           24.789357 ->12.926746           29.100786 ->14.515106           
rushmore                25.089369 ->12.298363           25.095722 ->10.517126           30.491433 ->12.190856           
shroom                  24.984799 ->14.555840           24.991088 ->11.079683           30.604250 ->12.601009           
snow                    24.775606 ->15.839703           24.797847 ->12.893863           29.301987 ->14.429283           
sunset                  24.751316 ->18.017425           24.770623 ->15.596609           28.178072 ->17.332250           
sunsetcolor             24.734340 ->24.326557           24.746810 ->20.879598           27.189808 ->22.602750           
swarm                   24.783559 ->19.195528           24.799355 ->16.060367           27.981046 ->17.810148           
trolley                 24.797436 ->14.319827           24.821178 ->11.867567           30.098471 ->13.389553           
turtle                  24.736022 ->19.377912           24.753733 ->15.956601           28.131582 ->17.561909           
veggies                 24.731168 ->16.679657           24.753460 ->13.427710           29.103585 ->14.888986           
woman                   24.982985 ->13.619195           24.990185 ->10.573794           30.441029 ->12.105384           

Average PSNR: 24.878403 ->15.672878           
Average PSNR-HVS: 24.888868 ->12.851160           
Average PSNR-HVS-M: 29.586819 ->14.445390           
