Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    24.781162 ->23.244441           24.752885 ->19.131687           28.019241 ->20.617368           
aerial                  24.694600 ->23.825488           24.705980 ->19.972903           27.844180 ->21.531519           
boston                  24.684452 ->23.845385           24.698852 ->19.563165           27.987708 ->20.979520           
bridge                  25.011427 ->24.110012           24.965655 ->19.939751           28.092329 ->21.549343           
butter                  25.567147 ->27.404506           25.216857 ->23.172237           27.676631 ->24.661060           
cactus                  24.659023 ->23.145685           24.679678 ->18.791676           28.252332 ->20.463626           
child                   24.648744 ->22.273371           24.662751 ->18.488302           28.293958 ->20.009754           
couple                  24.839891 ->24.485071           24.826232 ->19.432492           28.640519 ->20.799190           
elk                     24.716747 ->24.023201           24.721614 ->19.145158           28.441795 ->20.516439           
family                  25.346727 ->28.626362           25.029951 ->24.290968           27.087920 ->25.710115           
fisher                  24.708380 ->28.477407           24.719619 ->23.672257           27.316909 ->24.868059           
foxy                    24.841433 ->19.853480           24.819308 ->16.125135           29.526125 ->17.913693           
geckos                  24.683173 ->21.610853           24.692426 ->17.121561           29.042557 ->18.614768           
lady                    24.648239 ->28.394694           24.667623 ->23.537010           27.203527 ->24.973308           
lake                    25.052009 ->20.661116           24.916885 ->16.989111           28.954386 ->18.570972           
log                     24.911347 ->20.198338           24.858786 ->16.649359           29.037535 ->18.602128           
monument                24.953394 ->24.741901           24.868382 ->20.270394           28.160391 ->21.580364           
native                  24.816503 ->26.507129           24.813857 ->21.820108           27.769748 ->23.187548           
redwood                 25.033114 ->24.079219           24.930910 ->20.075842           27.991817 ->21.657396           
roping                  25.604926 ->25.113733           25.205465 ->20.844022           28.074527 ->22.389575           
rushmore                24.709830 ->21.628717           24.731029 ->18.305505           28.243468 ->20.130666           
shroom                  24.942073 ->26.633284           24.865940 ->21.440823           28.122947 ->22.727518           
snow                    25.630263 ->24.482945           25.188521 ->20.110343           28.415715 ->21.839297           
sunset                  24.766513 ->25.318811           24.745671 ->21.292130           27.554381 ->22.941488           
sunsetcolor             25.103546 ->32.733455           24.950085 ->28.076950           26.948004 ->29.141775           
swarm                   24.667630 ->28.695348           24.676266 ->23.585762           27.209710 ->24.873776           
trolley                 24.764424 ->21.038885           24.746654 ->17.276832           28.694791 ->18.925373           
turtle                  24.809788 ->28.811707           24.784972 ->23.721119           27.391830 ->25.029142           
veggies                 25.513827 ->24.319974           25.138314 ->20.070310           28.262391 ->21.658088           
woman                   24.802186 ->25.035252           24.779093 ->20.394869           27.964419 ->21.746721           

Average PSNR: 24.930417 ->24.777326           
Average PSNR-HVS: 24.845342 ->20.443593           
Average PSNR-HVS-M: 28.074060 ->21.940320           
