Image Name              PSNR                            PSNR-HVS                        PSNR-HVS-M                      
1600                    25.073764 ->14.622739           25.061478 ->13.054329           30.232067 ->15.180015           
aerial                  24.948428 ->16.067982           24.943752 ->14.475936           29.533654 ->16.610405           
boston                  24.797214 ->17.066652           24.818571 ->14.929090           29.457386 ->16.910491           
bridge                  24.879643 ->16.749573           24.883403 ->15.190343           29.083745 ->17.455926           
butter                  24.882186 ->18.837036           24.877576 ->16.763578           28.707374 ->19.221295           
cactus                  24.821280 ->15.526104           24.845002 ->13.871222           29.397019 ->16.059851           
child                   24.792258 ->15.484841           24.809341 ->13.582863           30.099317 ->15.486793           
couple                  24.915018 ->15.427939           24.924325 ->13.042036           30.977400 ->15.115850           
elk                     24.966659 ->14.503079           24.981376 ->12.296109           31.288473 ->14.323234           
family                  24.925898 ->20.663424           24.931269 ->19.736585           27.746531 ->22.252046           
fisher                  24.790532 ->20.222379           24.806613 ->17.843260           28.377728 ->20.057101           
foxy                    24.883180 ->12.777316           24.901741 ->11.078221           31.237774 ->12.895102           
geckos                  24.917349 ->12.650988           24.931486 ->10.643183           31.891460 ->12.450997           
lady                    24.800469 ->22.090677           24.815407 ->20.176414           27.774881 ->22.586647           
lake                    24.893488 ->12.993121           24.909181 ->11.534228           30.762298 ->13.361038           
log                     24.833803 ->13.831959           24.854369 ->12.660843           30.075435 ->14.626816           
monument                25.087339 ->15.140060           25.067933 ->13.253398           30.614394 ->15.380082           
native                  25.114155 ->15.730374           25.093801 ->13.710548           30.293730 ->16.001074           
redwood                 24.889198 ->16.074793           24.900047 ->14.482527           29.431842 ->16.639743           
roping                  24.773641 ->17.179652           24.789357 ->15.251425           29.100786 ->17.441388           
rushmore                25.089369 ->12.779411           25.095722 ->11.753063           30.491433 ->13.802473           
shroom                  24.984799 ->16.127578           24.991088 ->13.815982           30.604250 ->16.025475           
snow                    24.775606 ->16.956921           24.797847 ->15.111230           29.301987 ->17.217057           
sunset                  24.751316 ->19.097061           24.770623 ->17.787393           28.178072 ->20.157071           
sunsetcolor             24.734340 ->25.611904           24.746810 ->23.074630           27.189808 ->25.330947           
swarm                   24.783559 ->20.614583           24.799355 ->18.722442           27.981046 ->21.233676           
trolley                 24.797436 ->15.183059           24.821178 ->13.507782           30.098471 ->15.448163           
turtle                  24.736022 ->20.970195           24.753733 ->18.677740           28.131582 ->20.948105           
veggies                 24.731168 ->18.055610           24.753460 ->15.777466           29.103585 ->17.792971           
woman                   24.982985 ->14.859873           24.990185 ->12.963887           30.441029 ->15.133660           

Average PSNR: 24.878403 ->16.796563           
Average PSNR-HVS: 24.888868 ->14.958925           
Average PSNR-HVS-M: 29.586819 ->17.104850           
